Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00041763393002402214,0.00045272536745255115,0.1551608005698677,6.708888505670642
1,t+1,B35_SO2,0.00042695533492490223,0.0005394281077873864,0.8282282566370935,7.8456502456278985
2,t+2,B35_H2S,0.00045257696570757814,0.0004917372402170138,-0.1251232594757159,7.290559962026904
2,t+2,B35_SO2,0.00043078580143873443,0.0005494357034067775,0.803294120551696,7.846985857862965
3,t+3,B35_H2S,0.00045428860719188874,0.0004963679349516674,-0.2954438429939228,7.340835382029417
3,t+3,B35_SO2,0.00042372683894563944,0.0005449146905531011,0.7850142897171475,7.589762279697365
4,t+4,B35_H2S,0.00045290832758524774,0.0004969144943158275,-0.4751869537642899,7.337888710254159
4,t+4,B35_SO2,0.0004245742841307434,0.0005473181222875376,0.7575906535096759,7.469542844202155
5,t+5,B35_H2S,0.0004543990561119199,0.0004980643238838913,-0.6752818952930575,7.376807579713243
5,t+5,B35_SO2,0.00042801313408641844,0.0005520095762280609,0.7225151080115753,7.426914403039446
6,t+6,B35_H2S,0.0004555598337279671,0.0004996708725778001,-0.8687286603873916,7.411552668875333
6,t+6,B35_SO2,0.0004368989400211998,0.0005631846136404179,0.6729603007186168,7.464598974626102
7,t+7,B35_H2S,0.0004589594758341912,0.0005028439447912086,-1.0957878825877083,7.481824518858618
7,t+7,B35_SO2,0.0004503599808582648,0.000574799291139691,0.6129142331929035,7.563126938162497
8,t+8,B35_H2S,0.00046640919309941004,0.0005098783690160513,-1.379803555386994,7.611659985062741
8,t+8,B35_SO2,0.0004662852509816509,0.0005862207795804152,0.5391319630855598,7.710331947632539
9,t+9,B35_H2S,0.0004794982469459761,0.000521475756742854,-1.5542182111912113,7.823031117261363
9,t+9,B35_SO2,0.00048152223702731614,0.0005961162364841024,0.44754543818354997,7.890733539046871
10,t+10,B35_H2S,0.0004922455169807603,0.0005340282921478853,-1.5957166006034291,8.032462927330425
10,t+10,B35_SO2,0.0005006367614068614,0.0006084328194842349,0.32291413175807626,8.130303463305415
11,t+11,B35_H2S,0.0005041115336748288,0.0005461625220595493,-1.59546895898758,8.230688173897335
11,t+11,B35_SO2,0.0005121763931254035,0.0006160748973584229,0.17408463766575044,8.222808311611235
12,t+12,B35_H2S,0.0005150728988883918,0.0005573152997634746,-1.5782442088813933,8.412733013028772
12,t+12,B35_SO2,0.0005396436327725771,0.000635128282025344,-0.05301673281573116,8.562303457093117
13,t+13,B35_H2S,0.0005240647855443415,0.0005667692233075762,-1.524279634614679,8.56122217809696
13,t+13,B35_SO2,0.0005672541513837393,0.0006591023951377186,-0.3767973089159895,8.904945933974846
14,t+14,B35_H2S,0.0005283404867939566,0.0005715322587419295,-1.3979991839674644,8.637588710186533
14,t+14,B35_SO2,0.0005951570894725426,0.0006858133553410094,-0.8099499805708201,9.247094808638332
15,t+15,B35_H2S,0.0005323842523429634,0.0005755726914402205,-1.2460471978011824,8.708437738025431
15,t+15,B35_SO2,0.0006225483621463906,0.0007143551450009522,-1.3794690881949494,9.596723615434128
16,t+16,B35_H2S,0.000533959009852099,0.0005780823138622773,-1.0987736655088738,8.744647073887734
16,t+16,B35_SO2,0.0006490144729081932,0.0007447164879866553,-2.115702573163058,9.937585435824632
17,t+17,B35_H2S,0.0005343103101976958,0.0005802877474608465,-0.9408653463782319,8.762573968404268
17,t+17,B35_SO2,0.0006780119413554993,0.0007782074765243227,-3.0868423333696606,10.313873184653122
18,t+18,B35_H2S,0.0005400879393960577,0.0005878777498691542,-0.8250871618480453,8.856971872263797
18,t+18,B35_SO2,0.0007122215430089251,0.0008171369325166681,-4.327318968209734,10.793098925084248
