epoch,kci_percent
1,59.75882090218848
2,73.6552028218695
3,76.50248531405333
4,76.85765443151298
5,77.98102981029811
6,79.41970310391363
7,80.43478260869566
8,82.65443151298119
9,85.01788908765653
10,86.15555555555555
11,86.4925709140027
12,86.42030276046304
13,86.69972948602344
14,87.9547471162378
15,88.04889090086012
16,89.949977262392
17,89.11272068809416
18,91.1052399823866
19,91.84903974988833
20,91.79372197309416
21,92.28899690676093
22,93.06057866184449
23,91.75166297117516
24,92.47747747747748
25,92.00445434298442
26,93.46204475647214
27,92.89544235924933
28,93.50940017905103
29,93.97052255471192
30,93.89702618730581
31,94.26411738550466
32,94.3054935238946
33,94.57885304659499
34,94.33288710397144
35,94.89018377409234
36,94.22478898267437
37,95.434098065677
38,95.17426273458445
39,95.0044014084507
40,94.09273294694606
41,95.07542147293701
42,94.76847729296527
43,95.08888888888889
44,95.31180893409996
45,94.72972972972973
46,95.0530035335689
47,95.57581147176522
48,94.74431818181817
49,94.85662266727356
50,94.08244680851064
51,94.9175211769951
52,94.53297919433378
53,94.69323779668606
54,94.59279038718292
55,94.66367713004485
56,94.20677361853832
57,95.46875
58,94.95372410753636
59,94.34216434665468
60,95.0354609929078
61,94.50892857142857
62,94.89840989399293
63,95.12411347517731
64,94.98473615351068
65,95.00446030330062
66,95.88394062078272
67,95.5740578439965
68,95.6639566395664
69,95.42190305206462
70,94.82142857142857
71,95.0863213811421
72,95.36173990235241
73,95.81269698334084
74,95.02252252252252
75,94.80752014324082
76,95.00446030330062
77,95.55309734513274
78,95.20303435966086
79,95.05567928730511
80,95.28596961572833
81,95.86129753914989
82,95.22534582775548
83,95.81105169340464
84,95.4975236380009
85,95.44018058690746
86,95.78068592057761
87,96.20767494356659
88,95.50938337801608
89,95.42425588627277
90,95.92525889239081
91,95.438202247191
92,96.25056129321959
93,95.67051509769094
94,95.44032185963344
95,95.86108468125595
96,95.58823529411765
