epoch,kci_percent
1,54.23232778027916
2,78.68043087971274
3,79.71145175834084
4,79.04164800716525
5,80.78806767586822
6,82.3822463768116
7,82.03511931562359
8,82.50336473755047
9,82.50564334085779
10,82.71577044735653
11,82.37796686072548
12,82.1731369924141
13,81.75705961452263
14,81.60124888492417
15,81.97596795727637
16,82.33707865168539
17,82.4410163339383
18,83.01886792452831
19,82.78985507246377
20,83.90332877336981
21,82.65033407572383
22,83.37843933243121
23,83.10236924452393
24,83.87533875338752
25,83.4770767135724
26,86.0949395432154
27,85.77857785778578
28,84.25760286225402
29,85.73688969258589
30,87.10467706013362
31,86.0699865410498
32,86.16071428571429
33,86.73883626522327
34,87.37601442741209
35,85.7074569789675
36,86.2784471218206
37,87.97581728616211
38,87.98570790531487
39,86.14190687361419
40,87.4497543546226
41,86.9036903690369
42,88.03360581289736
43,86.70999551770507
44,86.56615661566157
45,87.94964028776978
46,87.38212842388864
47,87.63586956521739
48,86.04494382022472
49,86.55841226883176
50,87.69058295964126
51,86.20378719567178
52,86.79585398828301
53,86.1883408071749
54,86.73651359786001
55,88.26416778224007
56,86.55480984340045
57,86.61844484629296
58,87.91331546023235
59,87.18468468468468
60,87.4497543546226
61,87.63562386980108
62,86.2358276643991
63,88.53746074472858
64,86.91484618814088
65,88.3546034639927
66,87.7431026684758
67,87.1447902571042
68,86.33484162895928
