,0
Unnamed: 0,3059.5
i,1.625
j,719.5
steps,3059.5
acidgas_Fm,140.42856032618178
acidgas_Fv,2477.2181094269054
acidgas_CO2,40.12247140719459
acidgas_H2O,45.368574093893486
acidgas_H2S,54.93751482509371
acidgas_T,83.60249067114032
acidgas_P,1.6722781222886198
air,123.26277778148466
air_SP,3456.2529869360533
second_air2,231.2916449120744
air2_SP,231.2900349782593
COG,31.075220974041446
COG_SP,29.248283507474312
burner_input_T_SP,599.9999587739113
burner_input_T_PV,600.0040295033313
burner_inputP,1.6221531890904697
burner_output_T_SP,1219.506405728874
burner_output_T_PV,1219.510349814957
burner_output_P_SP,1.6221949999999998
burner_output_P_PV,1.6221941540413853
fur_F,278.8208940184586
fur_inputT,142.98808858163716
fur_inputP,1.5720017681315646
fur_temp,932.3593212212096
fur_outputT,932.7086010730438
fur_outputP_SP,1.571315
fur_outputP_PV,1.5713179916441875
WHB_F,275.60395033235665
WHB_inputT,932.7085343365611
WHB_inputP,1.5212982068938024
WHB_outputT,211.9935639902037
WHB_outputP,1.5211908101049127
SEP1_F,275.60395033235665
SEP1_P_SP,1.520795
SEP1_P_PV,1.5207863069708074
SEP1_T,118.97250426780892
HEATER1_F,256.1646021650421
HEATER1_input_T,118.97251198994773
HEATER1_input_P,1.4221868556796073
HEATER1_output_T_SP,331.9610843027596
HEATER1_output_T_PV,331.9613847442414
HEATER1_output_P,1.4215151927476457
cat1_F,256.1646021650421
cat1_input_temp,331.9613847442414
cat1_output_temp,363.8038266035887
cat1_input_P,1.4213401234977472
cat1_output_P_SP,1.4114450000000003
cat1_output_P_PV,1.4114483329288539
cat1_deltaP,9.891739687627764
SEP2_F,254.518490697667
SEP2_P_SP,1.3613750000000002
SEP2_P_PV,1.3613770893407071
SEP2_T,61.686229658750676
HEATER2_F,186.05729959378195
HEATER2_input_T,61.68622942591131
HEATER2_input_P,1.2623433276854472
HEATER2_output_T_SP,186.1630018178284
HEATER2_output_T_PV,186.1619402494704
HEATER2_output_P,1.4215151927476457
cat2_F,186.05729959378195
cat2_input_temp,186.1619402494704
cat2_output_temp,235.57810249646775
cat2_input_P,1.262045125709068
cat2_output_P_SP,1.251615
cat2_output_P_PV,1.2516155529957094
cat2_deltaP,10.429573666824101
SEP3_F,184.33346119038438
SEP3_P_SP,1.200915
SEP3_P_PV,1.200910503540198
SEP3_T,128.57862232956293
B35_H2S,-4.15501473600564
B35_SO2,-5.146681710655155
ratio,2.8792407424640416
ratioSP,2.0454330294133736
conv,0.9257610222704381
