epoch,kci_percent
1,75.17037710131758
2,73.02839116719242
3,73.46799818429415
4,73.34542157751586
5,78.165548098434
6,80.0268696820421
7,80.53811659192826
8,81.26962763571109
9,80.99455040871935
10,81.70951736580965
11,85.52158273381295
12,87.11879836140191
13,87.8
14,87.81965006729476
15,88.0527020991514
16,88.97192028985508
17,90.71428571428571
18,90.15730337078651
19,90.78299776286354
20,89.6121266161391
21,90.70191431175935
22,91.38009049773756
23,92.06457480673033
24,91.87749667110519
25,92.44523915958874
26,93.73591707976566
27,94.41624365482234
28,93.82716049382715
29,94.14965986394557
30,94.34684684684684
31,95.01160092807424
32,94.76510067114094
33,94.9236298292902
34,95.66876122082584
35,95.11974694984184
36,96.0775473399459
37,95.61364643331856
38,95.46882009869897
39,95.63348416289593
40,94.72857783759532
41,94.84536082474226
42,95.84664536741214
43,95.13513513513514
44,95.5474784189005
45,94.9358690844759
46,96.32220216606498
47,95.34459151072569
48,95.45454545454545
49,95.7227813357731
50,95.44025157232704
51,95.78587699316628
52,95.99731663685151
53,95.881310894597
54,95.57974233673923
55,95.84474885844749
56,95.7018747142204
57,95.92944369063771
58,96.20535714285714
59,95.85024808299504
60,95.70649704679691
61,95.93441150044923
62,95.01803426510371
63,95.1627284886313
64,96.02604400538841
65,95.65020389669235
66,95.69506726457399
