MAE,RMSE,R2,MAPE,Variable
0.27657764709626775,0.377051975723563,0.9946942364808725,0.2259925263411604,air
2.0505341873518383,3.1648234387820082,0.99676683661123,0.9872859490373692,second_air2
0.25810264493448704,0.4656883320257861,0.9961570606986688,0.9431993114382657,COG
0.0910911510573799,0.1260610734122296,0.9227028198098468,0.015181059887896793,burner_input_T_PV
1.4946106806056948e-05,2.080056745298867e-05,0.9614700412080189,0.0009213764380175854,burner_inputP
0.17652083583099817,0.2519346568051475,0.8390345600650466,0.01447375703225572,burner_output_T_PV
1.5320897015052998e-05,2.1023088282422502e-05,0.9593666507266893,0.0009444567955076337,burner_output_P_PV
0.39997010512314574,0.5864410811736985,0.9975599531610749,0.14504089050956073,fur_F
2.1802638528675558,3.0795297398973025,0.9605224455484398,1.6098957902715534,fur_inputT
1.2859965148724008e-05,1.6652593405592977e-05,0.991747014184979,0.0008180608255065633,fur_inputP
1.4211323712433,2.0575994488936584,0.9831124980114216,0.153169379103155,fur_temp
1.5244552887255471,2.2041550341481453,0.9846141649642183,0.16446562452662197,fur_outputT
1.2105730481254612e-05,1.5876006842394898e-05,0.9877283884805219,0.0007704129381157011,fur_outputP_PV
0.4713087888067214,0.6569185556876894,0.9968829452510268,0.17195860984631145,WHB_F
1.546684032570657,2.2352586151595752,0.9841768697856539,0.16684423545344879,WHB_inputT
5.3490450830929274e-05,7.183745798575037e-05,0.9922782272839754,0.003516159571470432,WHB_inputP
2.5553599019634485,3.57419662929056,0.9925098406291202,1.4238813683108675,WHB_outputT
5.533504332389148e-05,7.644302374906615e-05,0.9911238563894404,0.003637754141774041,WHB_outputP
0.4242678677723735,0.5684337053854923,0.997666106605258,0.1548236240826182,SEP1_F
5.171601439389623e-05,7.022893030326362e-05,0.9923119009033975,0.003400657173016372,SEP1_P_PV
0.3564337329681998,0.4901994509701426,0.9770053603234059,0.30239785597801006,SEP1_T
0.7781783658347982,1.045467461359485,0.9951612995485025,0.3076456190342342,HEATER1_F
0.36161579716579134,0.48451916910814774,0.9775351823113033,0.30648014140088786,HEATER1_input_T
5.448383612621406e-05,7.869581439409633e-05,0.9936209246072709,0.003835272257549636,HEATER1_input_P
0.19758291833382333,0.31644272393947626,0.9970934382315625,0.08669456293205349,HEATER1_output_T_PV
5.2070555208561846e-05,7.154486745904019e-05,0.9938202397482825,0.003667312301408225,HEATER1_output_P
0.8828798572186316,1.165408815638002,0.993987372568795,0.3497734370504665,cat1_F
0.1991086294214659,0.3301435314281948,0.9968363027780478,0.08757630356570587,cat1_input_temp
0.6310936463844684,0.8134057423768828,0.9939962127036982,0.2361979360456005,cat1_output_temp
5.542902540570188e-05,7.900886023670694e-05,0.9922200525488839,0.003904233483222938,cat1_input_P
1.3635871338753829e-05,1.819182155210573e-05,0.9895449520983923,0.0009660960012712224,cat1_output_P_PV
0.7088308388503863,0.9722925336495968,0.9958836086968785,0.27979988925488614,SEP2_F
4.361947629293546e-05,6.152803105832847e-05,0.9941282338244064,0.003204166709056542,SEP2_P_PV
0.6070810229227771,0.681506654998925,0.96329020311395,1.3642320329515254,SEP2_T
0.6637451649254966,0.8145845510809272,0.9920955080122621,0.39852974299808147,HEATER2_F
0.5801865481392758,0.653176087777118,0.9662788528549457,1.3012328134689746,HEATER2_input_T
6.553533002578318e-05,9.334170541376886e-05,0.9940218390329884,0.005195812247874334,HEATER2_input_P
0.8923761007122734,1.5522637320422301,0.9854892466041536,0.4258871737783119,HEATER2_output_T_PV
0.5985956486243894,0.745016219398709,0.993387996414564,0.358816709237171,cat2_F
0.9994061417605571,1.6589965812721763,0.9834251379456243,0.4785633915330821,cat2_input_temp
1.311746999487908,1.9692349816487908,0.9786486939204915,0.4968005538285858,cat2_output_temp
6.771851932390151e-05,9.55936923629508e-05,0.9934318326620507,0.00536985672178959,cat2_input_P
1.8566446920775217e-05,2.5281196338308358e-05,0.984009466043189,0.0014833918026367775,cat2_output_P_PV
0.60662087918667,0.7389775940687247,0.9932717271814738,0.3673882084636131,SEP3_F
4.770599842028343e-05,6.661652972693675e-05,0.992506907916231,0.003972642767132786,SEP3_P_PV
2.9458111850774045,3.4840395023637964,0.024440514632350863,2.228715094319997,SEP3_T
0.00041718731311435163,0.0005200702254201338,0.9509694812489333,4.534352724348267,B35_H2S
0.00026861876837013177,0.00038932190314368086,0.9461729714752932,13.275048286493119,B35_SO2
