epoch,kci_percent
1,53.5427807486631
2,70.96846846846847
3,77.30978260869566
4,78.25503355704699
5,79.78007181328546
6,80.76923076923077
7,82.35685752330227
8,84.4335414808207
9,84.33895297249335
10,84.93870402802102
11,85.14764213309827
12,85.48958794860434
13,84.08388520971303
14,84.83551149166291
15,86.41231593038822
16,87.69911504424779
17,88.61408199643493
18,89.31314957071848
19,89.48775055679288
20,90.11235955056179
21,90.96196868008948
22,92.85071942446042
23,93.03260384100045
24,92.66400709219859
25,92.08185053380782
26,92.85714285714286
27,92.76813529149977
28,93.91226499552371
29,93.90673119225693
30,94.70096745822339
31,93.46756152125279
32,93.84546271338723
33,94.3035157988429
34,94.60958296362023
35,94.6580241394725
36,93.16239316239316
37,94.34724091520862
38,94.46666666666667
39,94.51774340309372
40,93.79187137114783
41,94.4888888888889
42,94.87992750339828
43,94.93899683687303
44,94.76847729296527
45,94.64920071047958
46,94.42195231668916
47,94.06966490299824
48,94.37166424065987
49,94.59219858156028
50,94.72972972972973
51,94.84902309058614
52,93.99293286219081
53,94.26554918394355
54,95.3125
55,94.36807095343681
56,93.88440860215054
57,95.05567928730511
58,94.25826630920466
59,95.24876736889287
60,94.09171075837742
61,94.12691269126913
62,94.57451598379109
63,94.90027198549411
64,94.90388913723737
65,94.8831054256727
66,94.02417188898836
67,94.5588893864756
68,94.62921348314607
69,93.65605658709107
70,93.50044365572316
