epoch,kci_percent
1,64.24121050289274
2,82.53066787823717
3,82.63205013428828
4,83.44474153297683
5,82.61648745519713
6,81.82023486901535
7,82.41410488245931
8,82.95812696983342
9,82.95148247978436
10,84.00270758122743
11,83.71989295272078
12,84.55882352941177
13,84.1000446627959
14,84.92383512544804
15,85.9781121751026
16,86.08971454463072
17,84.04017857142857
18,85.85541086663673
19,85.4419021982952
20,83.91034176653352
21,84.79346345891966
22,84.91243825774585
23,85.5510752688172
24,84.31859205776173
25,85.76576576576576
26,84.24107142857142
27,85.14119229045272
28,87.05457825890844
29,86.74807779285392
30,86.40841916703985
31,87.12804328223625
32,86.39226270805219
33,86.85168334849863
34,86.59517426273459
35,88.15406976744185
36,86.77404718693285
37,87.32907930720147
38,86.72467648371263
39,86.38000900495273
40,86.30044843049328
41,86.97214734950583
42,86.97799730579254
43,87.27028238458091
44,85.54964539007092
45,87.08165997322624
46,86.95263628239499
47,87.63944667559126
48,87.67431399010346
49,87.36961451247166
50,86.42696629213484
51,87.11711711711712
52,86.94581280788178
53,86.98876404494382
54,87.56708407871199
55,86.28298453139217
56,86.49977648636566
57,86.83385579937304
58,86.6263440860215
59,88.52913968547641
60,87.7038043478261
61,86.70715249662618
62,86.14349775784753
63,86.16170590848512
64,86.9351230425056
65,86.76405489154493
66,87.38799283154121
67,86.96436626071268
68,86.03008204193254
69,85.50401427297057
70,86.19186046511628
71,85.10158013544017
72,86.25678119349006
73,86.51330626973387
74,85.36367692994199
75,86.17212012550426
76,86.29248658318426
77,85.35489667565139
78,85.94170403587444
79,86.0924181247196
80,85.6347438752784
81,86.12374886260237
82,86.83737646001796
83,86.42503376857272
84,85.656836461126
85,86.00446428571429
86,86.19386393952868
87,84.80700179533214
88,86.01618705035972
89,85.69175304191077
90,86.71344499773653
91,86.66213768115942
92,86.27938517179024
93,85.4091726618705
94,85.51693404634581
95,85.47586829048264
96,85.63710040522288
97,86.65311653116531
98,86.35547576301616
99,86.19756427604871
100,87.90285973672265
