experiment,training_type,seed,distribution,probe_points,possible_comparisons,valid_comparisons,coverage_percent,micro_kci_percent
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,in_range,4417,35336,30752,87.0273941589314,88.24466701352758
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42,gain,42,out_range,1947,15576,11632,74.67899332306112,77.78541953232462
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,4417,35336,30752,87.0273941589314,85.76352757544225
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,1947,15576,11632,74.67899332306112,75.0343878954608
