Variable,MAE
QV1_AI01,8.826049577330591e-05
QV2_AI02,0.019527682468667307
SV1_FI05,252.94440834509157
SV2_FI06,113.15463776243377
SV3_TI06,0.17109163801389699
SV4_TI01,0.1522162029468978
SV5_PI06,0.03518097946507077
SV6_AT02,0.021372076178298817
SV7_TI02,0.17327082668092633
SV8_TI03,0.01801339969010588
SV9_FT04,39.315219695794255
SV10_TI04,0.01626284202636947
SV11_TI05,0.22136608966681098
SV12_TI07,0.09011408218206514
SV13_FIC02,113.79733467031062
SV14_TI08,0.02375668652161488
SV15_TIC12,0.055669213521871444
SV16_TI09,0.026156363999655784
SV17_PI04,0.007578813113551575
SV18_PIC03,0.007527507024263193
SV19_TI10,0.026256963481996316
SV20_PI05,0.035105458796672276
SV21_TI11,0.15829126584463704
SV22_PIC02,0.004683340573711879
SV23_FIC01,527.9470308382247
SV24_FIC02,3933.9993566209223
