,0
acidgas_Fm,3002.770262992944
acidgas_T,82.75043213851654
acidgas_P,174.8307558646954
air,4126.462216855103
second_air2,838.2031203487062
fur_top,1166.4049770325805
fur_temp,1025.2963172770949
cat1_input_temp,238.94643886798247
cat1_output_temp,243.9897844895878
cat1_bed_temp,247.89521968594212
cat1_deltaP,9.42095524724195
cat2_input_temp,193.35912906371058
cat2_output_temp,197.79752244728695
cat2_bed_temp,195.34178778074428
cat2_deltaP,8.271283799121505
B35_H2S,-0.7464419980461757
B35_SO2,-2.6753312126690374
