,0
acidgas_Fm,587.2129985245723
acidgas_T,4.548700811452402
acidgas_P,14.638840366685642
air,670.626327912274
second_air2,128.74353325700108
fur_top,12.06894099496677
fur_temp,15.895913356237129
cat1_input_temp,5.852116621457622
cat1_output_temp,8.370622429654842
cat1_bed_temp,5.56806195627329
cat1_deltaP,2.0656159495599757
cat2_input_temp,5.8153627793291855
cat2_output_temp,6.523728539286729
cat2_bed_temp,5.451333278319252
cat2_deltaP,1.2599606430530303
B35_H2S,0.25762539616858887
B35_SO2,0.9333931819493091
