DateTime,MV1_AIC01,MV2_FIC01,MV3_FIC02,MV4_SI01,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FC03
2018/4/4 12:40,0.003772145,76037.4275,19860.9911,4896.211029,0.003832775,0.18986945,60274.16567,22297.23125,43.43372259,34.37625527,17.91334491,0.512576534,38.77691101,29.00699835,4.92E-17,24.87145415,42.78816106,29.53716001,19784.57513,28.29236518,32.55892925,24.40887998,11.4417993,11.4417993,24.40887998,17.91334491,55.59260675,11.57465318,76037.4275,28938.5396
2018/4/4 12:50,0.003772145,76037.4275,19860.9911,4896.211029,0.003886599,0.186756186,60368.8493,22235.56852,43.44721868,34.40992229,17.91861209,0.50862431,38.83102602,29.01851501,1.05E-14,24.8904309,42.83731002,29.58308984,19722.72358,28.3103561,32.55609989,24.42428311,11.4461348,11.4461348,24.42428311,17.91861209,55.68853821,11.5800715,76037.4275,33361.25233
2018/4/4 13:00,0.003772145,76037.4275,19860.9911,4896.211029,0.003920155,0.183683562,60379.6694,22200.30418,43.48047891,34.44442041,17.93178651,0.504805506,38.88561656,29.02657383,5.22E-15,24.90863448,42.89119369,29.63646525,19686.12449,28.32819504,32.561567,24.44660815,11.45248159,11.45248159,24.44660815,17.93178651,55.75175149,11.58529676,76037.4275,37080.29933
2018/4/4 13:10,0.003772145,76037.4275,19860.9911,4896.211029,0.003934679,0.18163068,60383.86753,22189.15948,43.48953043,34.46474378,17.93536202,0.502737594,38.91099389,29.03121828,3.71E-13,24.92155991,42.90504575,29.67800182,19675.2299,28.341371,32.53404485,24.46696474,11.45829303,11.45829303,24.46696474,17.93536202,55.77634079,11.58902367,76037.4275,39900.35934
2018/4/4 13:20,0.003772145,76037.4275,19860.9911,4896.211029,0.003933016,0.180601475,60373.60015,22200.35491,43.48162976,34.47630232,17.93221846,0.501778417,38.91577884,29.034907,0,24.93137971,42.88801053,29.70813017,19687.90121,28.35317643,32.49710363,24.48649312,11.46389146,11.46389146,24.48649312,17.93221846,55.76638548,11.59187406,76037.4275,41730.22886
2018/4/4 13:30,0.003772145,76037.4275,19860.9911,4896.211029,0.003918931,0.179951505,60321.03904,22227.66753,43.48061516,34.48740984,17.93184074,0.500924938,38.91721705,29.0379221,37.43991559,24.94011423,42.86857782,29.73322468,19716.33438,28.36490674,32.47846078,24.50753001,11.46994147,11.46994147,24.50753001,17.93184074,55.73467337,11.59442552,76037.4275,42575.75177
2018/4/4 13:40,0.003772145,76037.4275,19860.9911,4896.211029,0.003896701,0.179323738,60235.83723,22262.3908,43.4907335,34.49883959,17.93591159,0.500003584,38.91984686,29.03912509,87.5383151,24.94701349,42.85595783,29.75356767,19751.38672,28.37432427,32.47666171,24.52839728,11.47595636,11.47595636,24.52839728,17.93591159,55.69373659,11.59645501,76037.4275,42559.92009
2018/4/4 13:50,0.003772145,76037.4275,19860.9911,4896.211029,0.003870574,0.178914228,60150.24159,22300.0398,43.49777518,34.50633008,17.93876533,0.499423835,38.9164008,29.0385489,111.4615801,24.95074846,42.83776845,29.76443492,19789.41293,28.379872,32.47380057,24.54590618,11.48101526,11.48101526,24.54590618,17.93876533,55.64712028,11.59757252,76037.4275,41883.87341
2018/4/4 14:00,0.003772145,76037.4275,19860.9911,4896.211029,0.003844259,0.178685526,60069.40436,22337.7455,43.5019105,34.51138944,17.94046235,0.498967643,38.90945421,29.03726474,123.6725184,24.95202916,42.81606201,29.76702305,19827.54533,28.38278821,32.47202317,24.56004123,11.48510772,11.48510772,24.56004123,17.94046235,55.59893708,11.59797849,76037.4275,40754.04029
2018/4/4 14:10,0.003772145,76037.4275,19860.9911,4896.211029,0.003820713,0.178311882,59986.7122,22371.07796,43.51228759,34.51827287,17.94464075,0.49813047,38.90732537,29.03560231,127.3387693,24.95185741,42.80322412,29.76587797,19860.74347,28.38394302,32.48049655,24.57180365,11.48851633,11.48851633,24.57180365,17.94464075,55.55704211,11.59795892,76037.4275,39382.13872
2018/4/4 14:20,0.003772145,76037.4275,19860.9911,4896.211029,0.003802051,0.177635103,59909.956,22395.86237,43.52890307,34.52734565,17.95129631,0.496861251,38.9115685,29.03321801,122.4673453,24.94999901,42.80177091,29.76252873,19884.77787,28.38262139,32.49569659,24.58057111,11.49105904,11.49105904,24.58057111,17.95129631,55.52699372,11.5974438,76037.4275,37988.49735
2018/4/4 14:30,0.003772145,76037.4275,19860.9911,4896.211029,0.003789434,0.176770381,59855.06605,22410.79765,43.54390129,34.53654509,17.95729757,0.495410718,38.91817594,29.03027664,108.0233537,24.94597594,42.80438656,29.75609554,19898.84643,28.37842809,32.50798551,24.58517408,11.49239802,11.49239802,24.58517408,17.95729757,55.50920243,11.59629406,76037.4275,36766.77472
2018/4/4 14:40,0.003772145,76037.4275,19860.9911,4896.211029,0.003783033,0.17579466,59826.73109,22416.13457,43.55432843,34.54585147,17.96146619,0.493826852,38.9261558,29.02746588,82.37671358,24.94027869,42.80805346,29.74752803,19903.43686,28.37229215,32.51577717,24.58583145,11.49259557,11.49259557,24.58583145,17.96146619,55.50302649,11.59465204,76037.4275,35846.22874
2018/4/4 14:50,0.003772145,76037.4275,19860.9911,4896.211029,0.003782182,0.174668121,59820.95755,22412.21106,43.5622263,34.55661708,17.96461647,0.49202248,38.93728551,29.02519717,34.45358278,24.93382551,42.81486095,29.73924282,19898.80408,28.36526656,32.52225104,24.5836061,11.49195775,11.49195775,24.5836061,17.96461647,55.50865393,11.59278465,76037.4275,35285.89386
