seed,distribution,target,mv,kci_percent_gain,coverage_percent_gain,kci_percent_no_gain,coverage_percent_no_gain,kci_percent_gain_minus_no_gain
42,in_range,B35_H2S,air2_SP,86.11803823773899,81.70704097803939,85.97949570518149,81.70704097803939,0.13854253255749427
42,in_range,B35_H2S,HEATER2_output_T_SP,86.96659351377713,92.84582295675798,85.06461838575957,92.84582295675798,1.901975128017554
42,in_range,B35_SO2,air2_SP,99.94210282538212,97.75865972379444,99.88420565076424,97.75865972379444,0.05789717461787802
42,in_range,B35_SO2,HEATER2_output_T_SP,77.01612903225806,75.7980529771338,68.17502986857825,75.7980529771338,8.841099163679814
42,soft_ood,B35_H2S,air2_SP,74.58950740889067,78.17783343769568,74.48938726471766,78.17783343769568,0.10012014417300463
42,soft_ood,B35_H2S,HEATER2_output_T_SP,87.10714285714286,87.66437069505322,85.91071428571429,87.66437069505322,1.1964285714285694
42,soft_ood,B35_SO2,air2_SP,99.0622655663916,83.46900438321853,98.72468117029257,83.46900438321853,0.33758439609903235
42,soft_ood,B35_SO2,HEATER2_output_T_SP,75.64835164835165,71.22730118973074,70.0,71.22730118973074,5.64835164835165
