MAE,RMSE,R2,MAPE,Variable
0.20872694385117083,0.27809415121565795,0.9972660736987975,0.1687288085672712,air
0.844101168782491,1.1350815970624353,0.9992101373958698,0.39417083724905405,second_air2
0.10272020003155098,0.14555283914126985,0.99928731189842,0.35789675533434545,COG
0.06470278997446069,0.09005923026503154,0.931699134350203,0.010783732478975572,burner_input_T_PV
4.190656757752627e-05,5.3766452262354025e-05,0.6769865476785737,0.002583391571793401,burner_inputP
0.13082465250843656,0.18259861106720737,0.8494528505084167,0.010727693961479273,burner_output_T_PV
4.2560908959644896e-05,5.452457538285706e-05,0.661463015694217,0.0026236625787994816,burner_output_P_PV
0.28158029550543,0.382560380301077,0.9989718608133373,0.10106482905218228,fur_F
0.40431788013760744,0.5237352602718904,0.9980525636755623,0.2934730951675357,fur_inputT
8.453273182019115e-05,0.00010850421678841018,0.6756444968231553,0.0053775068247769245,fur_inputP
0.5497998293556084,0.7065409417227159,0.9964819992119546,0.05901226963991135,fur_temp
0.6167099781830153,0.7962762462409059,0.9964551381069096,0.06622692320210401,fur_outputT
8.505464377592366e-05,0.00010916278848047112,0.4703832231302124,0.005413012148452245,fur_outputP_PV
0.3125383271562105,0.40293935151202875,0.9988400678309803,0.11439301840331782,WHB_F
0.696087401048518,0.8980204531757929,0.9954913749292152,0.07475608539976755,WHB_inputT
0.00038648083420211334,0.000493347435539317,0.6637520913988915,0.02540592164644898,WHB_inputP
1.688137494301386,2.233450015754761,0.9964295444617927,1.166074823915759,WHB_outputT
0.0003903739651320176,0.0004980752411021095,0.6521628929055503,0.025663381640506397,WHB_outputP
0.36225216674510663,0.46059361338079685,0.9984843844575708,0.1335433162189159,SEP1_F
0.0004023004862536572,0.0005128059116553863,0.6217675412238084,0.026454292580558404,SEP1_P_PV
0.3028070259743182,0.38264237734739887,0.9407833240829986,0.25605127138574313,SEP1_T
0.6990084462457685,0.8946049854905841,0.9960709468162492,0.2740683107221411,HEATER1_F
0.3129090148926476,0.3975093772952796,0.9360923735517371,0.26455434781125375,HEATER1_input_T
7.7570233288457e-05,9.940091323582293e-05,0.9892829785790802,0.0054620272263235905,HEATER1_input_P
0.11386538489146183,0.19503843216551964,0.9987706590631111,0.04997147619419139,HEATER1_output_T_PV
7.825693038389431e-05,9.89385746123658e-05,0.9876189263197197,0.005512546634823432,HEATER1_output_P
0.7085348415994764,0.8923418389909851,0.9960908008875072,0.2796308844167062,cat1_F
0.10848590953300874,0.1730057654666472,0.999032718008793,0.04765179345666944,cat1_input_temp
0.7028594168647776,0.8897361621039539,0.9913199437216239,0.2639291914295289,cat1_output_temp
8.044695130010908e-05,0.00010324455664001616,0.9860953810509732,0.005667723027987955,cat1_input_P
9.320708469661775e-05,0.00011912516926660394,0.599679286492653,0.006603740654297948,cat1_output_P_PV
0.757767466987872,0.9760975815338948,0.9953803660062939,0.298668402278898,SEP2_F
0.0004037510983138876,0.0005177066867408847,0.6096458153930484,0.029659562256305443,SEP2_P_PV
0.3737956837554558,0.4420429227181851,0.9533145269633811,0.8246016101236547,SEP2_T
0.5053828398108098,0.6363655739043791,0.9943420167045955,0.29973268409968906,HEATER2_F
0.3683800777636714,0.4411413310691904,0.9535047701248893,0.812193152376594,HEATER2_input_T
0.00011403915970298896,0.00014660611824929612,0.981302515762755,0.009048526070760623,HEATER2_input_P
0.8625063492247663,0.9656946450281576,0.9945330919009956,0.4922038340184099,HEATER2_output_T_PV
0.4451420980059451,0.5556748045313568,0.9956859048707393,0.26642712772236044,cat2_F
0.9428111946669256,1.0551008544934586,0.9934739548142772,0.5360548738325119,cat2_input_temp
1.467586340417118,1.6884505735731457,0.9845471188006559,0.626880608844804,cat2_output_temp
9.973870438308224e-05,0.00012844170048811445,0.9849777242167558,0.007914951469831169,cat2_input_P
9.814489489090641e-05,0.00012549663539071195,0.5875328404503182,0.007841548001333975,cat2_output_P_PV
0.4392129337275915,0.5534270973941118,0.9955849496873994,0.2655083720375528,SEP3_F
0.0003877794438853239,0.000498151167181549,0.5863905198187851,0.032292499376354,SEP3_P_PV
4.053739076629197,4.846075103379281,0.202951342441425,3.535530380141258,SEP3_T
0.00035884146818890056,0.00046927226759330213,0.9160343006174899,4.005347405395096,B35_H2S
0.00020570981937274404,0.0002781197330997842,0.9460184039773312,16.00383387376674,B35_SO2
