,0
i,4.5
j,719.5
steps,7199.5
acidgas_Fm,140.3634732960463
acidgas_CO2,40.084757748424536
acidgas_H2O,45.355694334235416
acidgas_H2S,54.92302121354861
acidgas_T,83.60583624512037
acidgas_P,1.6721776178370371
air,123.19301005625765
air_SP,3454.402690579398
second_air2,225.03033527078242
air2_SP,225.03178497683797
COG,30.231142092507636
COG_SP,28.506015563018984
burner_input_T_SP,599.9999588
burner_input_T_PV,599.995575917912
burner_inputP,1.6221568782500928
burner_output_T_SP,1219.5064060000002
burner_output_T_PV,1219.5026952291666
burner_output_P_SP,1.6221950000000005
burner_output_P_PV,1.6221953481006481
fur_F,278.2761419714768
fur_inputT,141.42879313715508
fur_inputP,1.5719950023999536
fur_temp,930.6938913163218
fur_outputT,930.8566536065948
fur_outputP_SP,1.571315
fur_outputP_PV,1.571314859831551
WHB_F,275.07588433339816
WHB_inputT,930.8566331351527
WHB_inputP,1.5213049999400001
WHB_outputT,208.35498530022662
WHB_outputP,1.5211981737712732
SEP1_F,275.07588433339816
SEP1_P_SP,1.5207950000000003
SEP1_P_PV,1.5207948564068978
SEP1_T,118.69003674156711
HEATER1_F,255.0498076817176
HEATER1_input_T,118.69003740736342
HEATER1_input_P,1.4204169609368518
HEATER1_output_T_SP,227.5287448457037
HEATER1_output_T_PV,227.52897762483565
HEATER1_output_P,1.419750289371389
cat1_F,255.0498076817176
cat1_input_temp,227.52897762483565
cat1_output_temp,265.66098034448845
cat1_input_P,1.419606289631736
cat1_output_P_SP,1.4114450000000003
cat1_output_P_PV,1.4114447648304862
cat1_deltaP,8.16152480181236
SEP2_F,253.18400146450924
SEP2_P_SP,1.3613750000000004
SEP2_P_PV,1.3613751547388657
SEP2_T,45.483750104919906
HEATER2_F,167.18922816884026
HEATER2_input_T,45.483750225660884
HEATER2_input_P,1.260539807042037
HEATER2_output_T_SP,169.58081699558565
HEATER2_output_T_PV,169.5818196279236
HEATER2_output_P,1.419750289371389
cat2_F,167.18922816884026
cat2_input_temp,169.5818196279236
cat2_output_temp,229.85385616794443
cat2_input_P,1.2602999836487732
cat2_output_P_SP,1.2516149999999997
cat2_output_P_PV,1.251614996048889
cat2_deltaP,8.684987599691967
SEP3_F,165.31034753408795
SEP3_P_SP,1.200915
SEP3_P_PV,1.2009149945797453
SEP3_T,111.86953473435624
B35_H2S,0.008533959585069445
B35_SO2,0.001866181641712963
ratio,10.254837359591967
ratioSP,2.0454330290000002
conv,0.9691356801069908
