experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.5264616237184816,85.89637018564699,30,6170,8,1010
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,55.8278468666179,93.37966349670812,4535,3124,44,499
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,100.0,100.0,8636,0,0,0
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,57.437275985663085,98.77538829151733,3801,2813,45,37
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,9.23076923076923,69.38461538461539,78,1726,162,634
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,35.81336696090794,77.80580075662043,1070,1398,66,638
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,96.9852469531751,96.9852469531751,3024,0,0,94
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss005_seed42,gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,46.900072939460244,97.81181619256017,1260,1422,26,34
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.914380714879468,85.97949570518149,47,6159,19,993
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,48.65886369178249,85.06461838575957,3900,3077,91,1134
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.88420565076424,99.88420565076424,8626,0,0,10
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,68.77240143369175,68.17502986857825,3156,1409,1449,682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,1.3076923076923077,72.46153846153847,15,1869,19,697
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,36.097099621689786,76.32408575031526,1051,1370,94,657
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,92.3348300192431,92.3348300192431,2879,0,0,239
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,79.50401167031364,56.309263311451495,1138,406,1042,156
