MAE,RMSE,R2,MAPE,Variable
0.25089615330069553,0.369137196843273,0.995182977078207,0.20479540214281547,air
2.2648277575153433,2.950351947275774,0.9946636409890862,1.0731770326443664,second_air2
0.3193737181071986,0.4108072352861652,0.9943227984351098,1.1331099466900771,COG
0.0925586730732351,0.12860219924854466,0.8607271259864829,0.015426659022542647,burner_input_T_PV
1.568597810889424e-05,2.1377269568805865e-05,0.948937471612891,0.000966980235743908,burner_inputP
0.16703480444544463,0.2433983423754361,0.7325067485360044,0.013696757509247497,burner_output_T_PV
1.543264290740409e-05,2.1248929706770246e-05,0.9485843114023048,0.0009513413071451749,burner_output_P_PV
0.35186247489161543,0.6309497998218415,0.9972033279310019,0.12804767208743256,fur_F
2.2207989785831614,2.986264642043224,0.9366865143808202,1.6357738760485647,fur_inputT
1.220922556078947e-05,1.6409345376129993e-05,0.9925815948248539,0.0007766806190333672,fur_inputP
1.4475951620114835,1.996550534025271,0.9719080503976495,0.1562241622691586,fur_temp
1.4305706904938922,1.965514678092743,0.9784014606635367,0.15445672861572723,fur_outputT
1.1279846510462196e-05,1.5037524569013651e-05,0.989950020125298,0.000717863500209899,fur_outputP_PV
0.41925672690693405,0.7243758500243882,0.996251295973421,0.15446309331716207,WHB_F
1.4471822749977652,1.9464006795466915,0.9788195023300122,0.156210129783866,WHB_inputT
4.96067943351163e-05,6.758185523240912e-05,0.9936902222677465,0.0032610629828624393,WHB_inputP
2.154584500078203,3.458944139153681,0.9914363629772636,1.9872609387852342,WHB_outputT
4.767738271644323e-05,6.411694439395286e-05,0.9942358982708891,0.0031343734378165723,WHB_outputP
0.41042136856836337,0.7469220180138296,0.9960143078559925,0.15123907386896104,SEP1_F
5.340296652331941e-05,7.196835702573685e-05,0.9925503490214862,0.0035117846624403187,SEP1_P_PV
0.1827877144030744,0.23963881543789273,0.9767741176932333,0.15505542697883495,SEP1_T
0.5645265376970316,0.8918039186840807,0.9960955125432419,0.22372850267047667,HEATER1_F
0.1857416841706991,0.23567535218208815,0.9775360428963966,0.15743569677145536,HEATER1_input_T
4.167045102132016e-05,5.9401865806335707e-05,0.9961726910362276,0.0029336275823805026,HEATER1_input_P
0.20317319984374593,0.3975046524095411,0.9948935817741619,0.08891404889109752,HEATER1_output_T_PV
3.858805792135064e-05,5.311259847464099e-05,0.9964320224904888,0.002718057573941661,HEATER1_output_P
0.5460892958435144,0.7949920151541213,0.9968972212203123,0.21711686912271044,cat1_F
0.19989818520526906,0.4074370672728281,0.9946352063290395,0.08691302962346445,cat1_input_temp
0.5571061145352978,0.7610651520562544,0.9936489763489402,0.2089406985853109,cat1_output_temp
3.733627357888647e-05,5.250100298613748e-05,0.9964044944371148,0.002630099272269711,cat1_input_P
1.2964255027468265e-05,1.7025398896268268e-05,0.9918229699720039,0.0009185152665197245,cat1_output_P_PV
0.4572377578159094,0.7424311456266374,0.9973274031005163,0.18336701280286574,SEP2_F
4.077371075979114e-05,5.7104989830847435e-05,0.9952505927852868,0.002995307116529179,SEP2_P_PV
0.3228270550857733,0.4055527018697848,0.9607040784281151,0.7204337874658026,SEP2_T
0.4304423146225022,0.611397383308535,0.9947772954547839,0.26017389165164234,HEATER2_F
0.3395102814112691,0.4264161740630537,0.9565569568981618,0.7587367343316563,HEATER2_input_T
5.456905385647464e-05,7.372092309039521e-05,0.9952721845550304,0.004328222637225066,HEATER2_input_P
0.6443273302492816,0.8395938097974963,0.9958676168423362,0.36797906015740856,HEATER2_output_T_PV
0.43412830356630355,0.6227867684712215,0.9945809013026754,0.26227812552490226,cat2_F
0.5495778499233648,0.7070620118833314,0.99706926104955,0.3141804610289479,cat2_input_temp
0.7961895808284507,1.0586804194309143,0.9939247728112346,0.3401889873052133,cat2_output_temp
5.947475031550714e-05,7.913813830467185e-05,0.9942971060441167,0.004718479770955109,cat2_input_P
1.5416154708916186e-05,2.016322729726226e-05,0.9893525575114083,0.001231725681759794,cat2_output_P_PV
0.43907482551358296,0.6283123369848614,0.9943092960566839,0.2685668495579033,SEP3_F
4.0746780836951134e-05,5.771108550492737e-05,0.9944488026600524,0.003393311368274487,SEP3_P_PV
3.483334886060183,4.129140200449586,0.421339534602297,3.0291021904949544,SEP3_T
0.0004360889386370772,0.0005668251190434582,0.8774959896277837,4.982635392427591,B35_H2S
0.00019667603154375102,0.00024909179416349316,0.9566986980575168,16.0263066528676,B35_SO2
