target_flow,target_air2,target_t2,Total_S_model_base,Total_S_model_air2,Total_S_model_t2,Total_S_true_base,Total_S_true_air2,Total_S_true_t2,delta_air2_true,delta_t2_true,delta_air2_model,delta_t2_model,Total_S_model_air2_delta,Total_S_model_t2_delta,Total_S_model_air2_gain,Total_S_model_t2_gain,Total_S_true_air2_delta,Total_S_true_air2_gain,air2_sign_match,Total_S_true_t2_delta,Total_S_true_t2_gain,t2_sign_match
121.0,190.0,155.0,0.040286944113128144,0.03974242762153156,0.040512727955797925,0.04077941,0.040203631,0.040958133,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,0.0005445164915965819,-0.00022578384266978447,0.00013265882801297688,-8.805571801347421e-05,0.0005757790000000054,0.0001402752139067885,True,-0.0001787229999999987,-6.97019853344365e-05,True
121.0,190.0,178.0,0.039600636263893416,0.03904654186278807,0.039560639561886345,0.040317278,0.039731594,0.040279317,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,0.0005540944011053454,3.9996702007066174e-05,0.00013499226376718405,1.559871721447365e-05,0.000585683999999996,0.00014268833768126693,True,3.796099999999608e-05,1.480479325705304e-05,True
121.0,190.0,230.0,0.04303316681081284,0.04251024609318976,0.04284236719401659,0.043157561,0.042604298,0.042951683,4.104638189200017,2.564103000000017,4.104638189200017,2.564103000000017,0.000522920717623073,0.00019079961679624802,0.0001273975180075467,7.441183790052379e-05,0.0005532629999999983,0.00013478971214947151,True,0.00020587799999999962,8.029240635029023e-05,True
121.0,223.0,155.0,0.044558936265067406,0.04403417582288049,0.04476700778757681,0.045165674,0.044632624,0.04533013,4.104636466399967,2.564101999999991,4.104636466399967,2.564101999999991,0.0005247604421869241,-0.00020807152250939965,0.00012784577793491494,-8.11479116312067e-05,0.0005330500000000002,0.0001298653374941922,True,-0.00016445600000000032,-6.413785411032825e-05,True
121.0,223.0,230.0,0.0471035360504433,0.046606399462916476,0.046935333082593435,0.047388543,0.046875245,0.047200278,4.104636466399967,2.564103000000017,4.104636466399967,2.564103000000017,0.0004971365875268177,0.000168202967849858,0.00012111586290194386,6.559914630958932e-05,0.0005132979999999954,0.00012505321828176202,True,0.00018826499999999996,7.342333751803211e-05,True
121.0,270.0,155.0,0.050611217651894344,0.05012508111484217,0.050787747251417104,0.051692981,0.051161687,0.051829316,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,0.00048613653705216817,-0.00017652959952275894,0.00011843590461426718,-6.88465589601192e-05,0.0005312940000000016,0.0001294374742694564,True,-0.00013633500000000132,-5.317066169754627e-05,True
121.0,270.0,178.0,0.05014700609493259,0.04964812110623901,0.05010484856351386,0.051353914,0.050817289,0.051321623,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,0.0004988849886935824,4.21575314187308e-05,0.00012154176950510155,1.644144087042206e-05,0.0005366249999999989,0.00013073624891274263,True,3.229100000000373e-05,1.2593492770569908e-05,True
121.0,270.0,230.0,0.052795710134111,0.05234043943231545,0.05266389806704138,0.053666793,0.053153904,0.053515271,4.104638189199989,2.564103000000017,4.104638189199989,2.564103000000017,0.0004552707017955555,0.00013181206706962457,0.00011091615894269349,5.140669741801468e-05,0.0005128889999999955,0.0001249535224199529,True,0.00015152199999999422,5.909356995409046e-05,True
140.5,190.0,155.0,0.014192881555621761,0.01445094821916099,0.014399718739312504,0.013291325,0.013511467,0.013637752,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,-0.0002580666635392284,-0.00020683718369074276,-6.287196377460127e-05,-8.066651938602422e-05,-0.00022014199999999956,-5.363249812839281e-05,True,-0.00034642699999999985,-0.00013510655972344356,True
140.5,190.0,178.0,0.013444959136036194,0.013756561931679305,0.013429088013397681,0.012624936,0.012991532,0.01256033,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,-0.0003116027956431111,1.5871122638513312e-05,-7.591480205563299e-05,6.189739190762835e-06,-0.0003665960000000003,-8.931262223417769e-05,True,6.460600000000004e-05,2.519634554319612e-05,True
140.5,190.0,230.0,0.01740934610039183,0.017617517047567414,0.017099462983234146,0.01723273,0.017413907,0.01688826,4.104638189200017,2.564103000000017,4.104638189200017,2.564103000000017,-0.00020817094717558504,0.0003098831171576819,-5.071602844882097e-05,0.00012085439514624795,-0.00018117699999999765,-4.413957860566233e-05,True,0.00034447000000000297,0.00013434327716164315,True
140.5,223.0,155.0,0.013120145379934169,0.01315715786899779,0.013409347430047212,0.012750438,0.012711804,0.013251598,4.104636466399967,2.564101999999991,4.104636466399967,2.564101999999991,-3.701248906362054e-05,-0.0002892020501130439,-9.01723925287905e-06,-0.00011278882435762886,3.86339999999992e-05,9.412282991746582e-06,False,-0.0005011600000000005,-0.00019545244299953832,True
140.5,223.0,230.0,0.016607049435590427,0.016622948544431266,0.016243219967520983,0.01667738,0.016658734,0.016262984,4.104636466399967,2.564103000000017,4.104636466399967,2.564103000000017,-1.5899108840841336e-05,0.0003638294680694436,-3.873451149934817e-06,0.0001418934684251924,1.8645999999997165e-05,4.54266782274897e-06,False,0.00041439599999999743,0.0001616144125255478,True
140.5,270.0,155.0,0.014629321962121652,0.014382710493084486,0.014999507244036588,0.014864421,0.014572298,0.015423366,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,0.00024661146903716614,-0.00037018528191493517,6.008117102404871e-05,-0.0001443722917087294,0.00029212300000000004,7.116900114817088e-05,True,-0.0005589450000000017,-0.00021798859795749294,True
140.5,270.0,178.0,0.01293037241487611,0.012710589403169603,0.012959489848965954,0.012840007,0.012549856,0.012863281,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,0.00021978301170650738,-2.911743408984435e-05,5.3545038947596995e-05,-1.135580179331573e-05,0.00029015100000000064,7.068856903476608e-05,True,-2.327400000000021e-05,-9.076861996909753e-06,True
140.5,270.0,230.0,0.01812289041632807,0.017890266156625038,0.017732938774297356,0.018514414,0.018248813,0.018090264,4.104638189199989,2.564103000000017,4.104638189199989,2.564103000000017,0.00023262425970303015,0.00038995164203071297,5.667351152048059e-05,0.00015208111453818757,0.0002656010000000007,6.470753030043983e-05,True,0.00042414999999999814,0.00016541847187885795,True
161.0,190.0,155.0,0.053829272991323306,0.05442546158665263,0.05381008624018742,0.054008798,0.054716542,0.054008332,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,-0.0005961885953293234,1.9186751135890746e-05,-0.00014524753896652678,7.482834589221026e-06,-0.0007077440000000032,-0.0001724254288385746,True,4.6599999999757946e-07,1.8174003998186542e-07,True
161.0,190.0,178.0,0.053980077379070505,0.05458015458356603,0.053967863611189444,0.054024409,0.054727741,0.054018943,4.104638189200017,2.564101999999991,4.104638189200017,2.564101999999991,-0.0006000772044955198,1.2213767881064542e-05,-0.00014619490849995557,4.763370521556702e-06,-0.000703332000000001,-0.0001713505472542218,True,5.46600000000258e-06,2.1317404689839165e-06,True
161.0,190.0,230.0,0.053857612703579916,0.05444458941946782,0.05387783936307616,0.054152293,0.05485215,0.054138563,4.104638189200017,2.564103000000017,4.104638189200017,2.564103000000017,-0.0005869767158879071,-2.022665949624525e-05,-0.00014300327795817427,-7.888395862508297e-06,-0.0006998570000000051,-0.00017050394401178765,True,1.3729999999996523e-05,5.354699089699763e-06,False
161.0,223.0,155.0,0.049018524350114875,0.04962318687291885,0.04900655656622273,0.049105748,0.049562683,0.049104668,4.104636466399967,2.564101999999991,4.104636466399967,2.564101999999991,-0.0006046625228039773,1.1967783892146145e-05,-0.0001473120769046584,4.667436744773096e-06,-0.00045693500000000553,-0.00011132167336630599,True,1.080000000000525e-06,4.2120009266422656e-07,True
161.0,223.0,230.0,0.0491352327056731,0.04972703188611028,0.04914439892341597,0.049315936,0.049765762,0.049296059,4.104636466399967,2.564103000000017,4.104636466399967,2.564103000000017,-0.0005917991804371851,-9.166217742873072e-06,-0.0001441782202349899,-3.574824312000341e-06,-0.0004498260000000004,-0.00010958972948815782,True,1.9876999999994538e-05,7.752028682152942e-06,False
161.0,270.0,155.0,0.041731986630275865,0.04233945366514515,0.041734235837168586,0.041516028,0.042082284,0.041516444,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,-0.0006074670348692877,-2.249206892720679e-06,-0.00014799526946556173,-8.771908811430616e-07,-0.0005662559999999942,-0.00013795515558226578,True,-4.159999999961417e-07,-1.6224003569130366e-07,True
161.0,270.0,178.0,0.04176810503382286,0.04238190284225135,0.04175922456993538,0.041554003,0.042113226,0.041548125,4.104638189199989,2.564101999999991,4.104638189199989,2.564101999999991,-0.0006137978084284867,8.880463887479095e-06,-0.00014953761577414903,3.4633816780608284e-06,-0.0005592229999999976,-0.00013624172807031074,True,5.878000000000827e-06,2.2924205043328413e-06,True
161.0,270.0,230.0,0.04207293074962748,0.0426551763243632,0.042055785518303836,0.041915474,0.04245795,0.041878923,4.104638189199989,2.564103000000017,4.104638189199989,2.564103000000017,-0.0005822455747357154,1.714523132364576e-05,-0.00014185064502584028,6.686639079493158e-06,-0.0005424760000000001,-0.00013216170950885466,True,3.655100000000272e-05,1.4254887576670077e-05,True
