,0
i,2.3673645594018526
j,414.491825731034
steps,3427.6036068887056
acidgas_Fm,6.13877492838214
acidgas_CO2,1.936101614979298
acidgas_H2O,2.2439676017762267
acidgas_H2S,2.605008981494422
acidgas_T,0.4258804664305318
acidgas_P,0.008356934922062381
air,5.20747441206063
air_SP,151.0164833357215
second_air2,44.48606571933585
air2_SP,44.48622451277852
COG,6.004104153127969
COG_SP,6.748190249821131
burner_input_T_SP,0.0
burner_input_T_PV,0.35398597957250605
burner_inputP,9.505316219218743e-05
burner_output_T_SP,4.547955003228727e-13
burner_output_T_PV,0.4865038759491848
burner_output_P_SP,2.220681153920277e-16
burner_output_P_PV,9.395171599519786e-05
fur_F,11.700483308281491
fur_inputT,12.911768884926287
fur_inputP,0.0001845369398132777
fur_temp,13.028877043754092
fur_outputT,14.612034815244954
fur_outputP_SP,0.0
fur_outputP_PV,0.00014495193520179986
WHB_F,11.600356884475326
WHB_inputT,14.612034912308088
WHB_inputP,0.0008278001834412884
WHB_outputT,37.456661198025245
WHB_outputP,0.0008216729958655388
SEP1_F,11.600356884475326
SEP1_P_SP,0.0
SEP1_P_PV,0.0008112395715133703
SEP1_T,2.418728570422059
HEATER1_F,14.118569770461383
HEATER1_input_T,2.4187285606769815
HEATER1_input_P,0.0009494608282638463
HEATER1_output_T_SP,5.548332153779597
HEATER1_output_T_PV,5.550241097156452
HEATER1_output_P,0.0008787337331705759
cat1_F,14.118569770461383
cat1_input_temp,5.550241097156452
cat1_output_temp,9.498090595035057
cat1_input_P,0.0008651981740303673
cat1_output_P_SP,2.220681153920277e-16
cat1_output_P_PV,0.00018301944723580365
cat1_deltaP,0.7465982604011927
SEP2_F,14.211244588804474
SEP2_P_SP,4.441362307840554e-16
SEP2_P_PV,0.0008055741088588449
SEP2_T,2.6639710977625177
HEATER2_F,8.506802663327115
HEATER2_input_T,2.663971067603663
HEATER2_input_P,0.00110887565408082
HEATER2_output_T_SP,21.416016127229277
HEATER2_output_T_PV,21.4225356089758
HEATER2_output_P,0.0008787337331705759
cat2_F,8.506802663327115
cat2_input_temp,21.4225356089758
cat2_output_temp,20.94438444435334
cat2_input_P,0.0010841090573357165
cat2_output_P_SP,2.220681153920277e-16
cat2_output_P_PV,0.00019140369150032205
cat2_deltaP,0.9732663348071859
SEP3_F,8.380078203408008
SEP3_P_SP,2.220681153920277e-16
SEP3_P_PV,0.0007533765316334347
SEP3_T,12.01748006104409
B35_H2S,0.20071874554962854
B35_SO2,0.8986046704079742
ratio,21.24243233420464
ratioSP,4.441362307840554e-16
conv,0.004770330122970654
