,0
i,3.6095701884395512
j,715.96940503917
steps,5913.750476392123
acidgas_Fm,140.29597743955114
acidgas_CO2,40.06753390386724
acidgas_H2O,45.34286239959348
acidgas_H2S,54.88558113629896
acidgas_T,83.6066264582617
acidgas_P,1.6720856413904297
air,123.13468558782553
air_SP,3452.6446728295577
second_air2,224.65221455921028
air2_SP,224.65195408813256
COG,30.180592485820448
COG_SP,28.436946083148744
burner_input_T_SP,599.9999588
burner_input_T_PV,599.999029203536
burner_inputP,1.6221554456851577
burner_output_T_SP,1219.5064060000004
burner_output_T_PV,1219.5056057514294
burner_output_P_SP,1.6221949999999998
burner_output_P_PV,1.6221941244096971
fur_F,278.12539348813254
fur_inputT,141.3193117692981
fur_inputP,1.5719934019664408
fur_temp,930.5982737106607
fur_outputT,930.7380649866823
fur_outputP_SP,1.571315
fur_outputP_PV,1.5713139615068812
WHB_F,274.92412695742115
WHB_inputT,930.7380595129049
WHB_inputP,1.5213059349764981
WHB_outputT,207.6913382958918
WHB_outputP,1.5211992201304256
SEP1_F,274.92412695742115
SEP1_P_SP,1.520795
SEP1_P_PV,1.520796098630108
SEP1_T,119.05572150606605
HEATER1_F,254.62599122150115
HEATER1_input_T,119.05572224607238
HEATER1_input_P,1.4204061017856235
HEATER1_output_T_SP,228.0862333066589
HEATER1_output_T_PV,228.08643909146733
HEATER1_output_P,1.4197405233092315
cat1_F,254.62599122150115
cat1_input_temp,228.08643909146733
cat1_output_temp,266.5545081319182
cat1_input_P,1.419596750699873
cat1_output_P_SP,1.4114450000000003
cat1_output_P_PV,1.411445144409168
cat1_deltaP,8.151610593596336
SEP2_F,252.74721448410966
SEP2_P_SP,1.3613750000000004
SEP2_P_PV,1.3613741382559814
SEP2_T,45.52027945862693
HEATER2_F,167.04042339191193
HEATER2_input_T,45.52027958269215
HEATER2_input_P,1.2606662490264662
HEATER2_output_T_SP,177.56819367342788
HEATER2_output_T_PV,177.5671365994495
HEATER2_output_P,1.4197405233092315
cat2_F,167.04042339191193
cat2_input_temp,177.5671365994495
cat2_output_temp,236.8289213256299
cat2_input_P,1.2604244035550496
cat2_output_P_SP,1.2516149999999997
cat2_output_P_PV,1.251614753415308
cat2_deltaP,8.809639654049544
SEP3_F,165.1881669497671
SEP3_P_SP,1.2009150000000002
SEP3_P_PV,1.2009112555286894
SEP3_T,117.84639172346074
B35_H2S,-4.754655791325567
B35_SO2,-6.530683989606605
ratio,11.927429770733006
ratioSP,2.0454330290000002
conv,0.9679385468156891
