plot_type,case,horizon,variable,split,n_samples,MAE,RMSE,R2,MAPE
parity,R5,1,B35_H2S,train,1117,0.0002956951866148352,0.00039092547347324745,0.9423756855238141,3.428435488508693
parity,R5,1,B35_H2S,valid,109,0.00030723652859745927,0.0003796413228126209,0.9143179897389474,3.5083436596611777
parity,R5,1,B35_H2S,test,109,0.0002749635683538885,0.00033364806958473644,0.7597374677937855,3.66070822486657
parity,R5,1,B35_H2S,all,1335,0.00029494481948799087,0.00038564783636237554,0.9408118485717963,3.453924416537629
parity,R5,1,B35_SO2,train,1117,0.00012659417808312718,0.00017212345717936166,0.9793431222190315,9.262788017826777
parity,R5,1,B35_SO2,valid,109,7.496957945005271e-05,0.00010454781894924285,0.9874922146886601,9.672555026848444
parity,R5,1,B35_SO2,test,109,0.00016112277558275886,0.00019884951853460172,0.6979552523468903,6.7698787954160125
parity,R5,1,B35_SO2,all,1335,0.00012519832480706333,0.0001700278966828404,0.9786593522813174,9.092703747220476
parity,R5-1,1,B35_H2S,train,1117,0.0002696218097522781,0.00034935224220466625,0.9777226383299179,2.911621509228768
parity,R5-1,1,B35_H2S,valid,109,0.00023229812425577904,0.00029327713194089424,0.7798590243215555,2.620439667026346
parity,R5-1,1,B35_H2S,test,109,0.000654799885615536,0.0007584540034003702,0.9113825052259829,6.056874649610314
parity,R5-1,1,B35_H2S,all,1335,0.00029802340417173624,0.0003951051228474828,0.9708018426613244,3.144650551552007
parity,R5-1,1,B35_SO2,train,1117,0.00016430645485684264,0.00022631109049271297,0.9820127575107823,8.829974304531635
parity,R5-1,1,B35_SO2,valid,109,0.00018786619150801715,0.00022354389340585682,0.7691056629409069,8.364208978100066
parity,R5-1,1,B35_SO2,test,109,0.00011574743654904756,0.00015783787406137173,0.9063132832110938,11.873648549748129
parity,R5-1,1,B35_SO2,all,1335,0.0001622653150062272,0.00022128581242178747,0.9810025621229752,9.040455257451153
parity,R5-2,1,B35_H2S,train,1117,0.0002953917681375125,0.000400233079469727,0.9340189081322411,3.195183350384302
parity,R5-2,1,B35_H2S,valid,109,0.0004000612148443994,0.0005067308447916145,0.8545160932181814,4.190635040759724
parity,R5-2,1,B35_H2S,test,109,0.00037747555197982003,0.0004871528397365894,0.5326946707099098,4.441172372521256
parity,R5-2,1,B35_H2S,all,1335,0.00031063978471418836,0.0004175769149576779,0.9240302449330429,3.3781923673609686
parity,R5-2,1,B35_SO2,train,1117,0.00014690772744961706,0.00019865872555495132,0.9796156679468726,12.262439155597479
parity,R5-2,1,B35_SO2,valid,109,0.0001125095192619902,0.00014125555253778033,0.9594647547717755,20.629291026967767
