epoch,train_loss,val_loss
1,0.41989434162775674,0.23003879934549332
2,0.25761540631453195,0.28444455564022064
3,0.21818239589532215,0.28845153748989105
4,0.1919228345155716,0.30270950496196747
5,0.17467419107755025,0.3042290359735489
6,0.16635273396968842,0.2603502720594406
7,0.15175145467122395,0.31510673463344574
8,0.1416943649450938,0.2909459322690964
9,0.13583934406439463,0.2916295528411865
10,0.12435124069452286,0.30252300202846527
11,0.1204175035158793,0.30262281000614166
12,0.11749800542990367,0.28479376435279846
13,0.1134078765908877,0.30606479942798615
14,0.11439467072486878,0.3205249160528183
15,0.10314838389555613,0.2918064296245575
16,0.104320094982783,0.32742375135421753
17,0.09776502698659897,0.30714596807956696
18,0.10314924567937851,0.30834220349788666
19,0.09282915592193604,0.3108830153942108
20,0.08928349365790685,0.3103986531496048
21,0.08904534031947454,0.30644693970680237
22,0.0901259203751882,0.28619860112667084
23,0.08964309046665828,0.2901090979576111
24,0.08757611562808355,0.3036022484302521
25,0.07944257060686748,0.31814277172088623
26,0.0752146820227305,0.3117149621248245
27,0.07176271677017212,0.28542786836624146
28,0.0739822506904602,0.3046162724494934
29,0.08161709308624268,0.30859191715717316
30,0.07729474107424418,0.2937919497489929
31,0.07242785344521205,0.28490686416625977
32,0.07299530655145645,0.2887892425060272
33,0.06730410580833752,0.29241083562374115
34,0.07420000930627187,0.2996310591697693
35,0.07790048023064931,0.2840721160173416
36,0.07105584666132927,0.29436051845550537
37,0.06464497074484825,0.29734618961811066
38,0.06442310387889544,0.2951197773218155
39,0.061548355221748355,0.29695896059274673
40,0.059007321546475096,0.29386022686958313
41,0.06198041215538978,0.3148985803127289
42,0.0654763234158357,0.31075237691402435
43,0.06496729155381521,0.3251830190420151
44,0.06747227559487025,0.2738610655069351
45,0.0632145956158638,0.31004276871681213
46,0.06190562422076861,0.29786325991153717
47,0.05482980857292811,0.2958933413028717
48,0.05497292925914129,0.28398625552654266
49,0.05220208888252576,0.29301416873931885
50,0.05517402415474256,0.2888716608285904
51,0.053502776722113295,0.28958961367607117
52,0.05682602971792221,0.2758093625307083
53,0.05894407356778781,0.2637094259262085
54,0.05989968553185463,0.27704937756061554
55,0.05330343221624692,0.2943446487188339
56,0.04907080928484599,0.2922130674123764
57,0.05180450156331062,0.2603917717933655
58,0.04967393105228742,0.28987473249435425
59,0.0491094375650088,0.2688993811607361
60,0.05463475336631139,0.26959021389484406
61,0.057605306555827455,0.26211807131767273
62,0.04951036771138509,0.25520986318588257
63,0.04808750028411547,0.2795937806367874
64,0.04837455277641614,0.2747402936220169
65,0.048475707322359084,0.2834586501121521
66,0.0525249960521857,0.2615992873907089
67,0.056537380317846934,0.30492088198661804
68,0.04911288718382518,0.27907806634902954
69,0.044586558391650516,0.2806963175535202
70,0.04433045561114947,0.27712276577949524
71,0.04594814131657283,0.25718142092227936
72,0.05082208663225174,0.2514883726835251
73,0.04755783279736837,0.27320563793182373
74,0.0466276320318381,0.2601758614182472
75,0.046534357219934465,0.2973152995109558
76,0.04871930703520775,0.274504691362381
77,0.04559221615393957,0.2666764557361603
78,0.04770567913850148,0.2726440131664276
79,0.044482331226269406,0.25700435042381287
80,0.04528523633877436,0.2504538893699646
81,0.0404097465177377,0.24323057383298874
82,0.045036777605613074,0.25711433589458466
83,0.04655706609288852,0.252621091902256
84,0.0424762062728405,0.27462053298950195
85,0.04111726557215055,0.26003894209861755
86,0.03856325770417849,0.25771842896938324
87,0.04276943479975064,0.23748666793107986
88,0.04189349586764971,0.26315630972385406
89,0.03918169438838959,0.25888343155384064
90,0.042598025500774385,0.25646867603063583
91,0.047788855930169426,0.2813154309988022
92,0.04611500948667526,0.25888192653656006
93,0.04078412900368373,0.268490269780159
94,0.037132439017295835,0.28065887093544006
95,0.03839415286978086,0.28188030421733856
96,0.03820010373989741,0.25169167667627335
97,0.040518034249544144,0.27225614339113235
98,0.044886284569899244,0.27922868728637695
99,0.04177457069357236,0.2617804855108261
100,0.03880192662278811,0.2734340727329254
101,0.03644044523437818,0.2708095759153366
