epoch,kci_percent
1,75.14766015447523
2,73.05092383956737
3,73.46799818429415
4,73.32275611967361
5,78.165548098434
6,80.07165248544558
7,80.65022421524664
8,81.3144908030507
9,81.08537693006357
10,82.04781235904375
11,86.06115107913669
12,87.50568957669549
13,88.0
14,88.06639748766263
15,88.29834747655202
16,89.28894927536231
17,90.82589285714285
18,90.3370786516854
19,90.89485458612975
20,89.96879179670084
21,90.99817684594348
22,91.8552036199095
23,92.29195088676671
24,92.21038615179761
25,92.64640143048726
26,93.89364578639027
27,94.60083064143979
28,93.94147233653406
29,94.33106575963718
30,94.45945945945947
31,95.17401392111368
32,94.85458612975391
33,95.01347708894879
34,95.73608617594255
35,95.16493447808405
36,96.2804328223625
37,95.68010633584404
38,95.5585464333782
39,95.70135746606336
40,94.86316733961418
41,94.97982967279248
42,95.9151072569603
43,95.31531531531532
44,95.66106315311222
45,95.09066784608581
46,96.41245487364621
47,95.481515289822
48,95.47859547859548
49,95.74565416285454
50,95.50763701707098
51,95.74031890660592
52,96.04203935599284
53,95.92559787422498
54,95.64637938693915
55,95.79908675799086
56,95.74759945130316
57,95.92944369063771
58,96.27232142857143
59,95.8276950834461
60,95.79736483416629
61,96.00179694519318
62,95.17583408476105
63,95.27418635755684
64,96.1607543780871
65,95.6728590847304
66,95.76233183856502
