Unnamed: 0,i,j,steps,acidgas_Fm,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,2493.104300455616,40.14773697105544,45.4207868568812,54.96776558874646,83.6,1.6722,2188.0924499443126,3458.641379599041,80.00029029252366,80.0,10.67426092400786,10.05299209701364,599.9999587739113,599.9995454310986,1.6221892918472371,1219.506405728874,1219.5062830589338,1.622195,1.6221940035112898,269.1065842393436,106.1085860907654,1.5719356141580396,893.6790740825903,888.3338234170693,1.571315,1.5713196481744245,266.2042571588909,888.333822366446,1.521324294674847,134.21133205439517,1.5212275698191366,266.2042571588909,1.520795,1.5208459739747648,100.04526835159992,238.33306306255952,100.04526835070811,1.420885796258934,328.41341256154027,328.4133654160129,1.4203244924290772,238.33306306255952,328.4133654160133,366.85154710841255,1.4201713743267592,1.411445,1.4114461316354645,8.72524269129471,236.4800743748656,1.361375,1.3613727634989858,53.24919933139085,166.50021120450535,53.249199328736815,1.2607056791193405,190.0,190.00027430821103,1.4203244924290772,166.50021120450535,190.0002743082112,246.8717349200324,1.2604617446633923,1.251615,1.2516151326663352,8.846611997057163,164.71128952023747,1.200915,1.2009165866733793,122.39709459184128,0.0186572474103063,0.0004132652013614,45.14594344948765,2.012651920994923,0.9434283349900308
1,0.0,1.0,1.0,2493.173328275534,40.14884856143585,45.4220444448189,54.96928750863712,83.6,1.6722,2188.1579076038547,3458.7384958712128,80.00020781493959,80.0,10.674246427386691,10.052951852097577,599.9999587739113,599.999841714216,1.62218910239552,1219.506405728874,1219.506561335084,1.622195,1.6221938140488237,269.1141575762677,106.10792979892176,1.5719300655791315,893.6793419485687,888.3343219264484,1.571315,1.5713140633516844,266.211419618885,888.3343219263287,1.5213078494779697,134.23465864397625,1.5212111183302164,266.211419618885,1.520795,1.520829512539332,100.04518018090266,238.3352695252805,100.04518018017754,1.420885913959174,328.4113301185381,328.411303496776,1.4203246008521342,238.3352695252805,328.41130349677576,366.849806185333,1.420171480706768,1.411445,1.411446118429154,8.725362277614002,236.482264280797,1.361375,1.361373292545884,53.24925269130689,166.49993872062748,53.24925268868107,1.260705255232404,190.0,190.0002135114337,1.4203246008521342,166.49993872062748,190.00021351143343,246.8720298341479,1.26046132137575,1.251615,1.251614738031244,8.846583344506165,164.7108636592338,1.200915,1.2009154819282897,122.39709609918046,0.018657258363969,0.000413265810683,45.14590339117162,2.012651920994923,0.9434304932418964
2,0.0,2.0,2.0,2493.205419145452,40.14936533716978,45.42262909447128,54.96999504558809,83.6,1.6722,2188.1890117317216,3458.7837536104216,80.00009440529061,80.0,10.674225818716236,10.052929113227655,599.9999587739113,600.0000161268862,1.6221893572365873,1219.506405728874,1219.506629840082,1.622195,1.6221940688749208,269.1177115762787,106.1076003507167,1.5719274859885104,893.6795596435811,888.3346869388064,1.571315,1.5713114667688513,266.2147532583644,888.3346858832235,1.5212963102622357,134.24566483149908,1.5211995759280146,266.2147532583644,1.520795,1.5208179652691567,100.0451054706573,238.33534438808772,100.04510547004504,1.4208856666856906,328.41125869687767,328.4112651544756,1.4203243540886668,238.33534438808772,328.4112651544752,366.8494536305843,1.4201712340615793,1.411445,1.411445879340956,8.72535472062319,236.48241016036516,1.361375,1.36137395503693,53.2493056926884,166.50042899223396,53.249305690091695,1.2607054702478615,190.0,189.99999233139343,1.4203243540886668,166.50042899223396,189.99999233139368,246.87186217953857,1.26046153495061,1.251615,1.2516149017257514,8.846633224858458,164.71134364360913,1.200915,1.200915382827913,122.39709829635262,0.0186572607284571,0.000413266238231,45.145862406563865,2.012651920994923,0.9434311576398212
3,0.0,3.0,3.0,2493.2166851635457,40.149546759636166,45.42283434517277,54.97024343786017,83.6,1.6722,2188.2006787219716,3458.7998003011007,80.00001135426072,80.0,10.674209703164092,10.052920575944636,599.9999587739113,600.0000721995469,1.62218969414432,1219.506405728874,1219.5065859824126,1.622195,1.6221944057713655,269.1189985725951,106.1074681178195,1.5719265803518052,893.6797485997016,888.3349768462306,1.571315,1.571310555007386,266.21592325648135,888.3349768461604,1.5212882165178163,134.2497104776783,1.521191480794995,266.21592325648135,1.520795,1.5208098681741684,100.04503748903088,238.3339159140114,100.04503748848065,1.4208851015764263,328.4126166020473,328.4126435307612,1.4203237963325046,238.3339159140114,328.4126435307608,366.8501862013838,1.4201706779332894,1.411445,1.411445420962652,8.72525697063753,236.4810587177168,1.361375,1.3613742049715034,53.24935785699236,166.50031614808324,53.2493578544512,1.260705426825906,190.0,190.00004124654413,1.4203237963325046,166.50031614808324,190.0000412465443,246.8719290399994,1.2604614917350798,1.251615,1.2516148649320176,8.846626803062252,164.7112489030378,1.200915,1.2009152062219597,122.39710071472008,0.0186572653701617,0.0004132668343161,45.14580852110861,2.012651920994923,0.9434314376097412
4,0.0,4.0,4.0,2493.216534665647,40.14954433609133,45.42283160331677,54.97024011969444,83.6,1.6722,2188.2016298274575,3458.7998163282346,79.99996568319975,80.0,10.674200180518254,10.052921626881762,599.9999587739113,600.000062248253,1.6221899829190256,1219.506405728874,1219.506503718461,1.622195,1.6221946945395884,269.11904071881975,106.10745046240017,1.571926592415881,893.67991723747,888.3352254266658,1.571315,1.571310566912461,266.2159070058348,888.3352254266075,1.5212826536219315,134.24994017120522,1.5211859175373157,266.2159070058348,1.520795,1.5208043045824702,100.04497265128772,238.33174622075487,100.04497265077356,1.42088449970616,328.41468350191514,328.4147196927639,1.420323205181632,238.33174622075487,328.4147196927644,366.8514746636823,1.420170089152634,1.411445,1.4114449745539843,8.725114598649553,236.4789578791592,1.361375,1.36137420341435,53.249408680550765,166.4996562941176,53.24940867808647,1.260705204378339,190.0,190.00023214850515,1.420323205181632,166.4996562941176,190.00023214850495,246.87216881864563,1.2604612710326928,1.251615,1.2516147054228557,8.846565609837098,164.7106019183609,1.200915,1.200914901300172,122.39710318955768,0.0186572725387187,0.0004132676427097,45.14573755734964,2.012651920994923,0.9434316454237958
5,0.0,5.0,5.0,2493.2107486256323,40.14945116052199,45.42272618996114,54.97011254954379,83.6,1.6722,2188.1972179699733,3458.791895606076,79.99994939860454,80.0,10.674163886950875,10.0528635046463,599.9999587739113,600.0000646787203,1.6221901840448008,1219.506405728874,1219.5069118139436,1.622195,1.6221948956568315,269.11846199245605,106.10749062575226,1.5719270574894877,893.6800556376156,888.3354287373752,1.571315,1.57131103480197,266.2153033571315,888.3354282432908,1.5212789240791365,134.24825200974612,1.52118218817979,266.2153033571315,1.520795,1.5208005757335796,100.04490905936902,238.32935056977013,100.04490905887688,1.420884013985129,328.4169693704228,328.41700767849903,1.4203227311859246,238.32935056977013,328.41700767849875,366.85294666835614,1.4201696177482863,1.411445,1.4114446589551073,8.72495879317925,236.47662171888675,1.361375,1.3613741444174714,53.24945784398989,166.49876720903413,53.24945784161478,1.2607049808255224,190.0,190.0004166839196,1.4203227311859246,166.49876720903413,190.00041668392004,246.87242971352805,1.2604610499140636,1.251615,1.2516145707662665,8.846479147797348,164.70971795367828,1.200915,1.2009146129030213,122.39710567892556,0.01865728027982,0.0004132686098241,45.14565064052863,2.012651920994923,0.9434318211104484
6,0.0,6.0,6.0,2493.2027502035294,40.14932235782941,45.422580470174985,54.969936200968576,83.6,1.6722,2188.1906145540306,3458.7808374647543,79.99994707375076,80.0,10.674192286385964,10.052930468194756,599.9999587739113,599.9999710643294,1.6221903258403716,1219.506405728874,1219.5060744114016,1.622195,1.6221950374597336,269.1176432819067,106.10756024491066,1.5719277003983494,893.6802002288134,888.3356047409749,1.571315,1.5713116816401382,266.2144855955249,888.3356025857141,1.5212764906231866,134.24585265080455,1.5211797551493391,266.2144855955249,1.520795,1.5207981435550484,100.0448458223058,238.327033963647,100.04484582183568,1.4208836815325985,328.4191830333275,328.4192191703459,1.4203224100515095,238.327033963647,328.4192191703464,366.8543804105669,1.420169299113756,1.411445,1.4114444908267192,8.724808287036812,236.4743554923516,1.361375,1.3613741255678924,53.24950523453158,166.49789244567833,53.2495052322477,1.2607048409217818,190.0,190.0005261422378,1.4203224100515095,166.49789244567833,190.00052614223785,246.8726288064329,1.260460912456937,1.251615,1.2516145209406773,8.846391516259766,164.70884390860735,1.200915,1.2009144278236876,122.39710817508644,0.0186572871847034,0.0004132696817463,45.1455502515004,2.012651920994923,0.9434319512986497
7,0.0,7.0,7.0,2493.194557332231,40.149190423821736,45.42243120780321,54.96975556519296,83.6,1.6722,2188.1836905298514,3458.7694680807977,79.99995798422414,80.0,10.674181664847138,10.052913008995876,599.9999587739113,599.9999660921419,1.6221903846286532,1219.506405728874,1219.5063646918504,1.622195,1.6221950962444354,269.11678919487787,106.1076295782248,1.571928358945628,893.6802982122891,888.3357601038065,1.571315,1.5713123443006058,266.21363465466567,888.3357592153149,1.5212749428221697,134.24332540304684,1.5211782078563545,266.21363465466567,1.520795,1.5207965972078166,100.04478263085522,238.32493148261932,100.04478263039556,1.4208834764871858,328.4211927538059,328.4212252713474,1.4203222152811426,238.32493148261932,328.4212252713472,366.8556724195196,1.4201691066109403,1.411445,1.4114444350097108,8.724671601229694,236.47229704918357,1.361375,1.3613741676774225,53.24955087877705,166.49715407073214,53.249550876578574,1.2607047910760656,190.0,190.0005541177554,1.4203222152811426,166.49715407073214,190.00055411775543,246.872748554986,1.2604608647141708,1.251615,1.2516145490242585,8.846315689912343,164.70810502534155,1.200915,1.2009143588385949,122.39711068285256,0.0186572926684071,0.0004132708288419,45.145438212241295,2.012651920994923,0.94343203109346
8,0.0,8.0,8.0,2493.187109852364,40.1490704932345,45.42229552539489,54.96959136374839,83.6,1.6722,2188.1773293494207,3458.759115600326,79.99996879743463,80.0,10.674194008091131,10.05293955382494,599.9999587739113,599.9999427425053,1.6221904161047138,1219.506405728874,1219.5062402231802,1.622195,1.6221951277242406,269.1160130894537,106.10770170435588,1.5719289575734914,893.6803912783213,888.3358817275428,1.571315,1.5713129466600988,266.212867891411,888.3358817272773,1.5212739885510695,134.2410270193371,1.521177254072386,266.212867891411,1.520795,1.5207956443037671,100.04471946974644,238.32309669768503,100.04471946930512,1.4208833609084826,328.4229462055452,328.42297433894646,1.4203221086770492,238.32309669768503,328.4229743389469,366.8567843433165,1.420169001984965,1.411445,1.4114444498197316,8.72455216523349,236.47049997444904,1.361375,1.361374256397448,53.24959488373764,166.49658613531406,53.24959488162152,1.2607048042147566,190.0,190.00052166102236,1.4203221086770492,166.49658613531406,190.0005216610221,246.87280544255748,1.260460879498595,1.251615,1.2516146235168089,8.846255981786122,164.70753639618846,1.200915,1.2009143785214342,122.39711321226676,0.0186572966679586,0.0004132720440379,45.14531514318337,2.012651920994923,0.9434320667072744
9,0.0,9.0,9.0,2493.1808219056416,40.14896923520407,45.422180968018445,54.96945272759852,83.6,1.6722,2188.171929305554,3458.75036469623,79.99997991210877,80.0,10.674197951802434,10.052947436457664,599.9999587739113,599.9999372898214,1.6221904175849464,1219.506405728874,1219.5062601553743,1.622195,1.6221951292057557,269.1153547950356,106.10775963562308,1.5719294629996283,893.680460003541,888.3359745123641,1.571315,1.571313455246301,266.21222004488817,888.3359745123456,1.5212734215142625,134.23907323604678,1.52117668746307,266.21222004488817,1.520795,1.520795078453005,100.04465646629372,238.3215280397106,100.0446564658631,1.4208833000979422,328.42444306499937,328.42446697729173,1.4203220555440488,238.3215280397106,328.42446697729224,366.8577150372267,1.4201689505414512,1.411445,1.4114445005617344,8.724449979716775,236.46896409825445,1.361375,1.3613743700327356,53.24963738818101,166.49618089739178,53.249637386138666,1.260704850948782,190.0,190.00045411172547,1.4203220555440488,166.49618089739178,190.00045411172565,246.87282309289463,1.2604609274283438,1.251615,1.2516147150943595,8.846212333984083,164.70713059308895,1.200915,1.2009144520332862,122.3971157790302,0.0186572993007162,0.0004132733327864,45.14518073286635,2.012651920994923,0.9434320698305604
