DateTime,acidgas_Fm,acidgas_T,acidgas_P,air,second_air2,burner_output_T_PV,fur_temp,cat1_input_temp,cat1_output_temp,cat1_bed_temp,cat1_deltaP,cat2_input_temp,cat2_output_temp,cat2_bed_temp,cat2_deltaP,B35_H2S,B35_SO2
2020-04-09 09:38:00,3135.9970703125,82.97962188720703,164.13650512695312,4197.2197265625,812.850341796875,1170.8944091796875,1029.691650390625,243.900390625,249.96563720703125,253.52471923828125,8.274330139160156,196.43190002441406,200.80392456054688,198.2243194580078,8.061543464660645,0.5425603985786438,0.07122977823019028
2020-04-09 09:39:00,3186.151123046875,82.9946517944336,166.97569274902344,4166.822265625,839.17041015625,1171.408935546875,1029.0777587890625,243.9336395263672,249.98672485351562,253.51856994628906,8.380717277526855,196.43310546875,200.8097686767578,198.2272491455078,8.070806503295898,0.5040124654769897,0.09879279881715775
2020-04-09 09:40:00,3205.25341796875,83.00968933105469,169.22679138183594,4173.525390625,792.8728637695312,1170.733154296875,1029.1923828125,243.96688842773438,250.0078125,253.51242065429688,8.487105369567871,196.43431091308594,200.8156280517578,198.2301788330078,8.080070495605469,0.5085455179214478,0.0845259428024292
2020-04-09 09:41:00,3200.486328125,83.02471923828125,167.9287567138672,4249.35205078125,825.8764038085938,1171.067626953125,1029.531494140625,244.00015258789062,250.02890014648438,253.50625610351562,8.59349250793457,196.43553161621094,200.82147216796875,198.2331085205078,8.089333534240723,0.5419895648956299,0.07307235896587372
2020-04-09 09:42:00,3260.370361328125,83.03974914550781,172.76206970214844,4146.60888671875,801.8221435546875,1171.52392578125,1029.80908203125,244.0334014892578,250.0500030517578,253.50010681152344,8.69987964630127,196.43673706054688,200.8273162841797,198.2360382080078,8.098596572875977,0.5419777035713196,0.07307974994182587
2020-04-09 09:43:00,3213.8642578125,83.05477905273438,173.5043182373047,4288.08984375,821.3375244140625,1169.9400634765625,1029.823486328125,244.08160400390625,250.0710906982422,253.49395751953125,8.806266784667969,196.4379425048828,200.83316040039062,198.2389678955078,8.107860565185547,0.570570707321167,0.04936886578798294
2020-04-09 09:44:00,3246.87353515625,83.06981658935547,174.6962432861328,4206.0615234375,817.72119140625,1171.23388671875,1029.80078125,244.18960571289062,250.09217834472656,253.48780822753906,8.912654876708984,196.43914794921875,200.83900451660156,198.2418975830078,8.1171236038208,0.47239556908607483,0.08997999876737595
2020-04-09 09:45:00,3288.39501953125,83.08484649658203,177.46377563476562,4279.52978515625,825.6571044921875,1167.7003173828125,1030.0506591796875,244.29759216308594,250.11328125,253.48165893554688,9.011011123657227,196.44036865234375,200.8448486328125,198.2448272705078,8.126386642456055,0.5742819905281067,0.05892358720302582
2020-04-09 09:46:00,3254.80322265625,83.0998764038086,176.33297729492188,4285.5029296875,851.2905883789062,1168.702880859375,1029.89306640625,244.4055938720703,250.13436889648438,253.47549438476562,8.996940612792969,196.4415740966797,200.85069274902344,198.24774169921875,8.135650634765625,0.559442937374115,0.06413096934556961
2020-04-09 09:47:00,3292.70703125,83.11490631103516,179.09152221679688,4298.6123046875,833.4623413085938,1170.09326171875,1029.9913330078125,244.5135955810547,250.15545654296875,253.46934509277344,8.982870101928711,196.44277954101562,200.85655212402344,198.25067138671875,8.144913673400879,0.5142055749893188,0.08215942978858948
2020-04-09 09:48:00,3295.5263671875,83.12994384765625,178.9542999267578,4322.93505859375,828.81201171875,1169.849609375,1029.973388671875,244.62159729003906,250.17654418945312,253.46319580078125,8.968799591064453,196.44398498535156,200.86239624023438,198.25360107421875,8.154176712036133,0.5581064224243164,0.06957555562257767
2020-04-09 09:49:00,3271.249267578125,83.14497375488281,178.13714599609375,4291.76904296875,845.2304077148438,1170.5,1029.7957763671875,244.72959899902344,250.19764709472656,253.45704650878906,8.954729080200195,196.44520568847656,200.8682403564453,198.25653076171875,8.163440704345703,0.5188672542572021,0.0804501622915268
