MAE,RMSE,R2,MAPE,Variable
0.0,0.0,1.0,0.0,burner_input_T_SP
0.10968898267651682,0.13908190659431827,0.7502828717580691,0.018282380649150574,burner_input_T_PV
3.045111438705193e-05,4.429401314716578e-05,0.7443973640990047,0.00187714618565648,burner_inputP
0.0,0.0,1.0,0.0,burner_output_T_SP
0.21504877590459504,0.27263550344974385,0.4854084005126501,0.017635072721601582,burner_output_T_PV
0.0,0.0,1.0,0.0,burner_output_P_SP
3.036893533606091e-05,4.4143244779027255e-05,0.7409921366961814,0.0018720346478170126,burner_output_P_PV
0.18390654686318125,0.24359226617477606,0.9995513110568802,0.06714768814271528,fur_F
0.41793789404029125,0.5307374266445595,0.99794725621676,0.3094512273336354,fur_inputT
5.865806214673936e-05,8.116774323960611e-05,0.8021901132114071,0.0037315965644757,fur_inputP
0.46674690775485145,0.5986124938889115,0.9973716339986326,0.05028963787790157,fur_temp
0.5788970973580027,0.740644016482535,0.9967969446161944,0.06229487005816952,fur_outputT
0.0,0.0,1.0,0.0,fur_outputP_SP
5.920737336364704e-05,8.138215592069953e-05,0.6786523262994373,0.0037681219062926925,fur_outputP_PV
0.19092317567044367,0.24918558009661468,0.9995221557558468,0.07067680480345283,WHB_F
0.5823483072872973,0.7430212545074966,0.9967763495384154,0.06269880809513648,WHB_inputT
0.00026520714366400365,0.00038603532922678756,0.7805235615080834,0.017437635777873994,WHB_inputP
0.7768319624208136,0.9907532579435847,0.999219540292189,0.41190147866163146,WHB_outputT
0.00026575282385893584,0.0003869307813647464,0.7762321764882638,0.01747471823537036,WHB_outputP
0.1976877715710083,0.2589144303886869,0.9994841148132398,0.07329597105848908,SEP1_F
0.0,0.0,1.0,0.0,SEP1_P_SP
0.0002645409558524248,0.0003845765708500486,0.7732689780590248,0.017399543358531427,SEP1_P_PV
0.4113624205270619,0.5635055348680011,0.9340549351104684,0.3465647768652102,SEP1_T
0.6081349494365914,0.8382081391969585,0.9961693093297884,0.24320035169730342,HEATER1_F
0.419133680146599,0.572411394808257,0.9319540196851227,0.35311364535358336,HEATER1_input_T
6.189085505664046e-05,8.124394655244257e-05,0.9922256709490543,0.004357602258115218,HEATER1_input_P
0.5326482903794403,0.7144775539149458,0.9824471675737803,0.23357418075356817,HEATER1_output_T_SP
0.4997660448069819,0.6802617477974268,0.9840996466549448,0.21899165493171782,HEATER1_output_T_PV
6.267501454751855e-05,8.23631646379242e-05,0.9906902617933498,0.004414778194119836,HEATER1_output_P
0.6193509704712089,0.8531220796726756,0.9960317803724126,0.24745587916711748,cat1_F
0.5085035735108459,0.6869686520843377,0.9837845683581073,0.2229465817271091,cat1_input_temp
0.9623068549748198,1.2606034478623178,0.980235938362721,0.360475292494213,cat1_output_temp
6.381871616369717e-05,8.40351832957358e-05,0.9900064517959669,0.004495862684741085,cat1_input_P
0.0,0.0,1.0,0.0,cat1_output_P_SP
6.627982299408413e-05,9.345892875373452e-05,0.737957062920657,0.004696131047477612,cat1_output_P_PV
0.0263285303502014,0.036075827243936875,0.9974834049696196,0.33262666401970953,cat1_deltaP
0.6218117897164549,0.856904027615524,0.9960413116809533,0.25046014311549425,SEP2_F
0.0,0.0,1.0,0.0,SEP2_P_SP
0.00026706287114912683,0.00038812905592149706,0.7630845784364345,0.019622882676407615,SEP2_P_PV
0.33404824453010895,0.5229868454538397,0.9437858768641075,0.7385390286536476,SEP2_T
0.3637849637243849,0.4844693843468147,0.99641660150139,0.21741967468101808,HEATER2_F
0.3316970447661532,0.5186542416331864,0.9447134109049725,0.7335224648330562,HEATER2_input_T
0.00022208033993652485,0.00034503222432968336,0.8817600955241994,0.01761174170710761,HEATER2_input_P
9.711763278785073,16.92959284993701,-0.5692708330333687,5.257552541459129,HEATER2_output_T_SP
9.76522043892469,16.96880426909922,-0.5736614509087004,5.2863264561572825,HEATER2_output_T_PV
6.356411013581971e-05,8.329193017548533e-05,0.9904791160609903,0.0044774050632308176,HEATER2_output_P
0.37208001565487264,0.4919814176092183,0.9963046138075373,0.2222965269081556,cat2_F
9.679266072382628,16.910698414890874,-0.562902603632971,5.239595965955203,cat2_input_temp
9.60207687600589,16.89237215226855,-0.6632252790700999,3.9208329327227163,cat2_output_temp
0.00022307384819314456,0.00034459181576559385,0.8765103349379351,0.017693827207010446,cat2_input_P
0.0,0.0,1.0,0.0,cat2_output_P_SP
7.030943714642909e-05,9.806318551845357e-05,0.7313344654246714,0.005617816027591706,cat2_output_P_PV
0.19643036579809503,0.32860498877314653,0.8537224712073541,2.178593555130711,cat2_deltaP
0.3603127427669595,0.47875569446707156,0.9963954623969908,0.2178288567679645,SEP3_F
0.0,0.0,1.0,0.0,SEP3_P_SP
0.0002577958653389688,0.0003742949507593861,0.7459733314674486,0.021473258038415745,SEP3_P_PV
3.773669338210259,6.191868945981101,0.021711091583811903,3.1095060256998988,SEP3_T
0.0004381763523366482,0.000669226867020745,0.8322526444099435,5.52509959780019,B35_H2S
0.00019116362119253762,0.0003122614605644655,0.9201139386453493,11.466202286993719,B35_SO2
