epoch,train_loss,val_loss
1,0.6821569800376892,0.4912776052951813
2,0.48818670213222504,0.39105480909347534
3,0.4318235417207082,0.39625492691993713
4,0.3937797049681346,0.35600370168685913
5,0.35770322382450104,0.30373629927635193
6,0.3093015303214391,0.2728163003921509
7,0.28204573194185895,0.21721000969409943
8,0.26109299063682556,0.200748473405838
9,0.24610630671183267,0.19653360545635223
10,0.23628687113523483,0.19121091067790985
11,0.2274698664744695,0.18917787075042725
12,0.21914596607287726,0.18720050156116486
13,0.2126118540763855,0.1848166584968567
14,0.20597468316555023,0.18727251887321472
15,0.19971353312333426,0.18627801537513733
16,0.19771835952997208,0.17916497588157654
17,0.19316376248995462,0.18010933697223663
18,0.1870439499616623,0.1733301877975464
19,0.1823472703496615,0.17184819281101227
20,0.17858373125394186,0.16637474298477173
21,0.17556770394245783,0.16806747019290924
22,0.17406129837036133,0.15919741988182068
23,0.1698720008134842,0.1519307643175125
24,0.1665689224998156,0.14921090006828308
25,0.16416100412607193,0.14990149438381195
26,0.16469204177459082,0.1441604346036911
27,0.16087191055218378,0.1453937590122223
28,0.1593386580546697,0.13874058425426483
29,0.15631314863761267,0.13203586637973785
30,0.1542868415514628,0.1380608081817627
31,0.15262856086095175,0.1316794604063034
32,0.1508804808060328,0.13263528048992157
33,0.14874630918105444,0.12527000904083252
34,0.14760645975669226,0.12138784676790237
35,0.14651311933994293,0.12571194767951965
36,0.14608628551165262,0.11863161623477936
37,0.1447996844847997,0.1239558756351471
38,0.14352861295143762,0.11527608335018158
39,0.14168702562650046,0.11261245608329773
40,0.14024771004915237,0.12041766941547394
41,0.13875701278448105,0.1125689372420311
42,0.1375679224729538,0.11542843282222748
43,0.13640246043602625,0.11597070097923279
44,0.13517792026201883,0.10856123268604279
45,0.13585074494282404,0.10405951738357544
46,0.1345997874935468,0.11493514478206635
47,0.13291154553492865,0.10690605640411377
48,0.13149988651275635,0.10892409831285477
49,0.13088110586007437,0.1072949692606926
50,0.12986132750908533,0.10504662990570068
51,0.12907981127500534,0.10819397866725922
52,0.12955628335475922,0.10985612124204636
53,0.12932242204745611,0.10564429312944412
54,0.12961038698752722,0.10714668780565262
55,0.1297120824456215,0.10416372865438461
56,0.12702777236700058,0.10281506925821304
57,0.12547708551088968,0.10439933091402054
58,0.12474552045265834,0.1096978485584259
59,0.12387123579780261,0.10568388551473618
60,0.12266446525851886,0.10227283835411072
61,0.12191696713368098,0.10654260963201523
62,0.12222043549021085,0.11019192636013031
63,0.12324025357762973,0.10431373119354248
64,0.1211778682967027,0.10298282653093338
65,0.12040984630584717,0.10522010922431946
66,0.12120316301782925,0.10032190382480621
67,0.1197830078502496,0.10204705595970154
68,0.11843295395374298,0.10078763216733932
69,0.11810865874091785,0.10020885616540909
70,0.1181456446647644,0.10721215605735779
71,0.11809856817126274,0.09825090318918228
72,0.11643152683973312,0.10219085216522217
73,0.11555301149686177,0.09859299659729004
74,0.11558814098437627,0.10264963656663895
75,0.11506783713897069,0.10031356662511826
76,0.11531917129953702,0.0976419672369957
77,0.1138324998319149,0.09825845062732697
78,0.1140562891960144,0.09985186159610748
79,0.11375175043940544,0.1067391037940979
80,0.11522398268183072,0.0993679016828537
81,0.11579692239562671,0.09807085245847702
82,0.11266132444143295,0.09905367344617844
83,0.11249605069557826,0.09594422578811646
84,0.11236082017421722,0.09512908011674881
85,0.11114283030231793,0.09884143620729446
86,0.11120924726128578,0.09370984882116318
87,0.11013151581088702,0.09732436388731003
88,0.109839362402757,0.09592041373252869
89,0.11046137660741806,0.09947660565376282
90,0.10981996233264606,0.09746918827295303
91,0.10961363712946574,0.09658106416463852
92,0.10855178162455559,0.09866073727607727
93,0.10742644841472308,0.0963757336139679
94,0.10724553962548573,0.0941467434167862
95,0.1069084753592809,0.09916771203279495
96,0.10666481405496597,0.09675159305334091
97,0.10635842631260554,0.09649090468883514
98,0.10828875874479611,0.09407034516334534
99,0.10538866246740024,0.09834437072277069
100,0.10470803081989288,0.09485438466072083
101,0.10488192985455196,0.09856654703617096
102,0.10583608721693356,0.1077042669057846
103,0.10589392359058063,0.0959949865937233
104,0.1050307924548785,0.10048280656337738
105,0.10593752066294353,0.09847597777843475
