experiment,training_type,seed,distribution,probe_points,possible_comparisons,valid_comparisons,coverage_percent,micro_kci_percent
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42_difficult_group_gradnorm_no_ss,gain,42,in_range,4417,35336,30752,87.0273941589314,99.12526014568158
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_seed42_difficult_group_gradnorm_no_ss,gain,42,soft_ood,3194,25552,20476,80.13462742642454,97.45555772611839
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,4417,35336,30752,87.0273941589314,86.34885535900104
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,soft_ood,3194,25552,20476,80.13462742642454,83.50263723383473
