epoch,ss_loss,ss_weight,weighted_ss_loss
1,2.3563048601150514,0.001,0.0023563048601150513
2,1.8335566163063048,0.001,0.001833556616306305
3,1.958548378944397,0.001,0.0019585483789443968
4,1.803027832508087,0.001,0.001803027832508087
5,1.6920341849327087,0.001,0.0016920341849327087
6,1.5498663187026978,0.001,0.0015498663187026977
7,1.3268484592437744,0.001,0.0013268484592437743
8,1.3737532258033753,0.001,0.0013737532258033753
9,1.3318130493164062,0.001,0.0013318130493164063
10,1.3427869141101838,0.001,0.001342786914110184
11,1.2989131569862367,0.001,0.0012989131569862368
12,1.2163363337516784,0.001,0.0012163363337516784
13,1.1025632202625275,0.001,0.0011025632202625276
14,1.2284175634384156,0.001,0.0012284175634384156
15,1.1046150088310243,0.001,0.0011046150088310242
16,1.2689056038856505,0.001,0.0012689056038856505
17,1.0267959833145142,0.001,0.0010267959833145143
18,1.1820773601531982,0.001,0.0011820773601531982
19,1.0426247835159301,0.001,0.0010426247835159301
20,1.1032255947589875,0.001,0.0011032255947589875
21,1.065072476863861,0.001,0.0010650724768638611
22,1.0128566563129424,0.001,0.0010128566563129425
23,0.9894474565982818,0.001,0.0009894474565982818
24,0.8542005181312561,0.001,0.000854200518131256
25,0.855197811126709,0.001,0.000855197811126709
26,0.9958114147186279,0.001,0.0009958114147186278
27,0.9268804490566254,0.001,0.0009268804490566254
28,0.9279351592063904,0.001,0.0009279351592063903
29,0.969623351097107,0.001,0.000969623351097107
30,0.8798735558986663,0.001,0.0008798735558986664
31,0.8813378572463989,0.001,0.0008813378572463989
32,0.8313806533813477,0.001,0.0008313806533813477
33,0.8035867094993592,0.001,0.0008035867094993592
34,0.8318957448005676,0.001,0.0008318957448005676
35,0.7724579036235809,0.001,0.000772457903623581
36,0.7403676688671113,0.001,0.0007403676688671112
37,0.7793656110763549,0.001,0.000779365611076355
38,0.9377638816833496,0.001,0.0009377638816833496
39,0.8902647852897644,0.001,0.0008902647852897644
40,0.9029408454895019,0.001,0.000902940845489502
41,0.8481497049331665,0.001,0.0008481497049331666
42,0.812923663854599,0.001,0.000812923663854599
43,0.8185538530349732,0.001,0.0008185538530349732
44,0.8040109932422638,0.001,0.0008040109932422638
45,0.8676771759986878,0.001,0.0008676771759986878
46,0.7931382060050964,0.001,0.0007931382060050964
47,0.8437228381633759,0.001,0.0008437228381633759
48,0.8310945928096771,0.001,0.0008310945928096771
49,0.872371929883957,0.001,0.000872371929883957
50,0.7314657747745514,0.001,0.0007314657747745514
51,0.757631492614746,0.001,0.000757631492614746
52,0.6818583756685257,0.001,0.0006818583756685257
53,0.6764325648546219,0.001,0.0006764325648546219
54,0.7295617014169693,0.001,0.0007295617014169693
55,0.8635237753391266,0.001,0.0008635237753391266
56,0.8103199958801269,0.001,0.0008103199958801269
57,0.7935974031686783,0.001,0.0007935974031686783
58,0.8199919283390045,0.001,0.0008199919283390045
59,0.7932011246681213,0.001,0.0007932011246681213
60,0.8673523306846619,0.001,0.0008673523306846619
61,0.8315123200416565,0.001,0.0008315123200416566
62,0.7884216904640198,0.001,0.0007884216904640198
63,0.7303169935941696,0.001,0.0007303169935941696
64,0.6988301813602448,0.001,0.0006988301813602447
65,0.8267975330352784,0.001,0.0008267975330352783
66,0.7097731918096543,0.001,0.0007097731918096542
67,0.7890467405319214,0.001,0.0007890467405319213
68,0.7099847078323365,0.001,0.0007099847078323365
69,0.724051421880722,0.001,0.0007240514218807221
70,0.8210187613964081,0.001,0.0008210187613964081
71,0.7119594037532806,0.001,0.0007119594037532806
72,0.7331245183944702,0.001,0.0007331245183944703
73,0.6876780688762665,0.001,0.0006876780688762665
74,0.7525529652833939,0.001,0.0007525529652833939
75,0.7387839615345001,0.001,0.0007387839615345002
76,0.789449143409729,0.001,0.0007894491434097291
77,0.6745890200138092,0.001,0.0006745890200138091
78,0.7132395893335343,0.001,0.0007132395893335343
79,0.6448301792144775,0.001,0.0006448301792144776
80,0.7684191703796387,0.001,0.0007684191703796387
81,0.7079765379428864,0.001,0.0007079765379428864
82,0.7468280732631684,0.001,0.0007468280732631684
83,0.7325665950775146,0.001,0.0007325665950775146
84,0.687904542684555,0.001,0.0006879045426845551
85,0.7600286781787873,0.001,0.0007600286781787873
86,0.6733030915260315,0.001,0.0006733030915260315
87,0.7596204578876495,0.001,0.0007596204578876496
88,0.7311963319778443,0.001,0.0007311963319778443
89,0.6788209080696106,0.001,0.0006788209080696106
90,0.7411741197109223,0.001,0.0007411741197109223
91,0.7825425386428833,0.001,0.0007825425386428832
92,0.7083615809679031,0.001,0.0007083615809679031
93,0.7993409872055054,0.001,0.0007993409872055054
94,0.6577412754297256,0.001,0.0006577412754297256
95,0.6795958578586578,0.001,0.0006795958578586579
96,0.7197204500436782,0.001,0.0007197204500436783
97,0.7430022597312927,0.001,0.0007430022597312928
98,0.7560222446918488,0.001,0.0007560222446918488
99,0.6397879719734192,0.001,0.0006397879719734192
100,0.5558671951293945,0.001,0.0005558671951293946
101,0.6565672248601914,0.001,0.0006565672248601914
102,0.6053066611289978,0.001,0.0006053066611289978
103,0.7039102137088775,0.001,0.0007039102137088775
104,0.657548788189888,0.001,0.000657548788189888
105,0.6271295189857483,0.001,0.0006271295189857483
106,0.7039735674858093,0.001,0.0007039735674858093
107,0.66075579226017,0.001,0.00066075579226017
108,0.6645521581172943,0.001,0.0006645521581172943
109,0.542075800895691,0.001,0.000542075800895691
110,0.730042365193367,0.001,0.000730042365193367
111,0.5324349045753479,0.001,0.0005324349045753479
112,0.6214746832847595,0.001,0.0006214746832847595
113,0.6020784229040146,0.001,0.0006020784229040146
114,0.5694065958261489,0.001,0.000569406595826149
115,0.594080451130867,0.001,0.000594080451130867
116,0.49606177508831023,0.001,0.0004960617750883103
117,0.5651849687099457,0.001,0.0005651849687099457
118,0.552395811676979,0.001,0.000552395811676979
119,0.548918604850769,0.001,0.0005489186048507691
120,0.5813656836748123,0.001,0.0005813656836748123
