seed,distribution,target,mv,kci_percent_gain,coverage_percent_gain,kci_percent_no_gain,coverage_percent_no_gain,kci_percent_gain_minus_no_gain
42,in_range,B35_H2S,air2_SP,86.81865828092243,86.39347973737831,86.76624737945492,86.39347973737831,0.052410901467510485
42,in_range,B35_H2S,HEATER2_output_T_SP,87.67701863354037,91.12519809825673,85.72670807453416,91.12519809825673,1.950310559006212
42,in_range,B35_SO2,air2_SP,99.95335820895522,97.07946570070183,99.89505597014926,97.07946570070183,0.058302238805964635
42,in_range,B35_SO2,HEATER2_output_T_SP,77.34375,76.79420421100295,68.69103773584905,76.79420421100295,8.65271226415095
42,out_range,B35_H2S,air2_SP,76.92307692307692,78.12018489984591,76.98882314266929,78.12018489984591,-0.06574621959236993
42,out_range,B35_H2S,HEATER2_output_T_SP,83.34363411619283,83.10220852593734,82.01483312731767,83.10220852593734,1.3288009888751589
42,out_range,B35_SO2,air2_SP,92.31423709585933,90.54956343091936,91.37833238797504,90.54956343091936,0.9359047078842906
42,out_range,B35_SO2,HEATER2_output_T_SP,65.83941605839416,70.36466358500257,57.22627737226277,70.36466358500257,8.613138686131393
43,in_range,B35_H2S,air2_SP,87.6703354297694,86.39347973737831,87.64412997903564,86.39347973737831,0.026205450733755242
43,in_range,B35_H2S,HEATER2_output_T_SP,91.5527950310559,91.12519809825673,91.19254658385093,91.12519809825673,0.36024844720496674
43,in_range,B35_SO2,air2_SP,99.97667910447761,97.07946570070183,99.98833955223881,97.07946570070183,-0.011660447761201453
43,in_range,B35_SO2,HEATER2_output_T_SP,92.70341981132076,76.79420421100295,89.91745283018868,76.79420421100295,2.785966981132077
43,out_range,B35_H2S,air2_SP,60.78238001314924,78.12018489984591,60.71663379355687,78.12018489984591,0.06574621959236993
43,out_range,B35_H2S,HEATER2_output_T_SP,84.33250927070458,83.10220852593734,83.68355995055624,83.10220852593734,0.6489493201483327
43,out_range,B35_SO2,air2_SP,93.56211003970505,90.54956343091936,93.47702779353375,90.54956343091936,0.08508224617129656
43,out_range,B35_SO2,HEATER2_output_T_SP,78.21167883211679,70.36466358500257,72.77372262773723,70.36466358500257,5.43795620437956
44,in_range,B35_H2S,air2_SP,88.06341719077568,86.39347973737831,88.06341719077568,86.39347973737831,0.0
44,in_range,B35_H2S,HEATER2_output_T_SP,92.3975155279503,91.12519809825673,91.86335403726709,91.12519809825673,0.5341614906832177
44,in_range,B35_SO2,air2_SP,100.0,97.07946570070183,99.97667910447761,97.07946570070183,0.023320895522388696
44,in_range,B35_SO2,HEATER2_output_T_SP,91.18514150943396,76.79420421100295,88.91509433962264,76.79420421100295,2.2700471698113205
44,out_range,B35_H2S,air2_SP,73.10979618671927,78.12018489984591,73.80013149243918,78.12018489984591,-0.6903353057199126
44,out_range,B35_H2S,HEATER2_output_T_SP,88.41161928306552,83.10220852593734,88.68974042027195,83.10220852593734,-0.2781211372064263
44,out_range,B35_SO2,air2_SP,96.62507090187181,90.54956343091936,96.42654566080544,90.54956343091936,0.19852524106636338
44,out_range,B35_SO2,HEATER2_output_T_SP,91.78832116788321,70.36466358500257,88.5036496350365,70.36466358500257,3.2846715328467155
