experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8576,97.07946570070183,100.0,99.89505597014926,99.89505597014926,8567,0,0,9
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6784,76.79420421100295,59.257075471698116,69.54599056603773,68.69103773584905,3307,1353,1411,713
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,air2_SP,1947,3894,3042,78.12018489984591,21.23602892833662,2.10387902695595,76.98882314266929,5,2337,59,641
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3236,83.10220852593734,52.595797280593324,40.23485784919654,82.01483312731767,1211,1443,91,491
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,air2_SP,1947,3894,3526,90.54956343091936,100.0,91.37833238797504,91.37833238797504,3222,0,0,304
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2740,70.36466358500257,48.02919708029197,79.34306569343066,57.22627737226277,1159,409,1015,157
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,in_range,B35_H2S,air2_SP,4417,8834,7632,86.39347973737831,13.181341719077569,3.2625786163522013,87.64412997903564,156,6533,93,850
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8050,91.12519809825673,60.79503105590062,55.09316770186335,91.19254658385093,4310,3031,125,584
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,in_range,B35_SO2,air2_SP,4417,8834,8576,97.07946570070183,100.0,99.98833955223881,99.98833955223881,8575,0,0,1
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6784,76.79420421100295,59.257075471698116,65.71344339622641,89.91745283018868,3897,2203,561,123
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,out_range,B35_H2S,air2_SP,1947,3894,3042,78.12018489984591,21.23602892833662,19.690992767915844,60.71663379355687,25,1822,574,621
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3236,83.10220852593734,52.595797280593324,40.296662546353524,83.68355995055624,1239,1469,65,463
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,out_range,B35_SO2,air2_SP,1947,3894,3526,90.54956343091936,100.0,93.47702779353375,93.47702779353375,3296,0,0,230
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed43,no_gain,43,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2740,70.36466358500257,48.02919708029197,72.91970802919708,72.77372262773723,1284,710,714,32
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,in_range,B35_H2S,air2_SP,4417,8834,7632,86.39347973737831,13.181341719077569,1.8736897274633124,88.06341719077568,119,6602,24,887
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8050,91.12519809825673,60.79503105590062,60.63354037267081,91.86335403726709,4560,2835,321,334
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,in_range,B35_SO2,air2_SP,4417,8834,8576,97.07946570070183,100.0,99.97667910447761,99.97667910447761,8574,0,0,2
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6784,76.79420421100295,59.257075471698116,66.89268867924528,88.91509433962264,3903,2129,635,117
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,out_range,B35_H2S,air2_SP,1947,3894,3042,78.12018489984591,21.23602892833662,7.001972386587771,73.80013149243918,31,2214,182,615
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3236,83.10220852593734,52.595797280593324,46.72435105067985,88.68974042027195,1424,1446,88,278
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,out_range,B35_SO2,air2_SP,1947,3894,3526,90.54956343091936,100.0,96.42654566080544,96.42654566080544,3400,0,0,126
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed44,no_gain,44,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2740,70.36466358500257,48.02919708029197,53.32116788321168,88.5036496350365,1231,1194,230,85
