MAE,RMSE,R2,MAPE,Variable
0.1808237275399673,0.248156569263614,0.9978230189638121,0.14756803355087159,air
1.129476885155978,1.6216311729896116,0.9983878644452195,0.5439122864487841,second_air2
0.19210336514476697,0.25487811872885574,0.997814638681145,0.6866555186614263,COG
0.0809800332575484,0.11565810602957907,0.8873524115251616,0.013496245082412293,burner_input_T_PV
1.3374878012963976e-05,1.890896911397332e-05,0.9600484574113395,0.0008245139644292152,burner_inputP
0.1518734058049966,0.22267879540563157,0.7761096764578745,0.012453499885596691,burner_output_T_PV
1.3550870473747398e-05,1.91231378166699e-05,0.9583572073250486,0.0008353436262226359,burner_output_P_PV
0.2884234106100852,0.5258049729736131,0.9980577670852465,0.10499457831469236,fur_F
1.9010526242072001,2.602875381873478,0.9518998544096726,1.4016537719830857,fur_inputT
1.0942787495455059e-05,1.4820314847645765e-05,0.9939487806216384,0.000696110349104756,fur_inputP
1.1019362958565377,1.538623979237308,0.983316534797578,0.11897107660698512,fur_temp
1.124187614217119,1.5766427837548216,0.9861024446072088,0.12144389265765128,fur_outputT
1.0484524051069737e-05,1.381733274196655e-05,0.99151482263864,0.0006672458943289691,fur_outputP_PV
0.30704756592870147,0.5061645181713499,0.9981696395501819,0.11287356845738183,WHB_F
1.1331753288386672,1.5671031915598892,0.9862701163977144,0.12241308518223702,WHB_inputT
4.55225731741217e-05,5.92184802624402e-05,0.9951552836235468,0.002992322314647067,WHB_inputP
1.7749404997218428,2.8735152290644734,0.9940898546648805,1.6614844344275372,WHB_outputT
4.7471807503841165e-05,6.0611159365512445e-05,0.9948490043250123,0.003120710742074525,WHB_outputP
0.34078719502428434,0.5755055653742093,0.9976337954648602,0.12560726770907463,SEP1_F
4.609557763807314e-05,5.943316306509239e-05,0.9949194534106878,0.003031082164804069,SEP1_P_PV
0.17297894338930844,0.23291278034104038,0.9780596004513668,0.14681666556710182,SEP1_T
0.4293846151344114,0.6330391136221134,0.9980326285327995,0.1702573335678976,HEATER1_F
0.1710172508365855,0.22452729713735378,0.9796109857994852,0.145073333546525,HEATER1_input_T
3.114495646496611e-05,4.416680917070679e-05,0.9978841474486939,0.0021927271392492985,HEATER1_input_P
0.14485698296083216,0.29410229093875284,0.9972046978119198,0.06330905803247847,HEATER1_output_T_PV
2.7830658090526124e-05,4.132040929033019e-05,0.9978404849309007,0.001960352557501322,HEATER1_output_P
0.5270188092787413,0.764278065301991,0.9971323372805383,0.20899157674958826,cat1_F
0.14321485727034958,0.30169132626152784,0.9970585762284184,0.06257716193854387,cat1_input_temp
0.5209757872852963,0.7017793568331476,0.9945999070566113,0.19546511685460177,cat1_output_temp
3.266078221561548e-05,4.640894967549512e-05,0.9971905051287825,0.002300713838179768,cat1_input_P
1.358755912817722e-05,1.723575214740196e-05,0.9916196630437085,0.0009626672919828334,cat1_output_P_PV
0.43426669453822814,0.6907479887893847,0.9976865487454152,0.17433554245709107,SEP2_F
3.595862734401884e-05,5.075315481588268e-05,0.996248392659785,0.0026412552429852607,SEP2_P_PV
0.3272375825600365,0.3890496842979768,0.9638371196365599,0.7278354956428192,SEP2_T
0.3469792496514411,0.4761427347176932,0.9968324561879087,0.20929440950550737,HEATER2_F
0.3333579867477313,0.3968886394871915,0.9623651459252396,0.7419148040357971,HEATER2_input_T
4.0376866314995354e-05,5.4978187535101896e-05,0.9973705808432155,0.0032027777246705726,HEATER2_input_P
0.4736479998051578,0.5978148181218492,0.9979049447597912,0.2699880970786742,HEATER2_output_T_PV
0.3433984434475269,0.4993042671000294,0.9965167963900846,0.2074665022750807,cat2_F
0.49533663312561393,0.6227729585242117,0.9977263604223129,0.2834588322284562,cat2_input_temp
0.6923058482280298,0.8860492954498445,0.9957445202224133,0.2938130862635079,cat2_output_temp
4.161383523802289e-05,5.7937532903972304e-05,0.9969433646357567,0.003301455976663994,cat2_input_P
1.36585594251272e-05,1.763341737854558e-05,0.9918567421668616,0.001091282777589168,cat2_output_P_PV
0.32488984534981663,0.48045991379879865,0.9966724151694137,0.19926345673300763,SEP3_F
3.7645186174103006e-05,5.035263059261726e-05,0.9957741652600359,0.0031347812114448387,SEP3_P_PV
2.5502046008556385,3.4981109740127905,0.5846906395449019,2.2243055180921485,SEP3_T
0.00040356473461171605,0.0005247065577259943,0.8950251858396421,4.688289613599641,B35_H2S
0.00016494672139660713,0.0002300017991213124,0.9630814547810924,12.030181719865563,B35_SO2
