experiment,training_type,seed,distribution,target,mv,probe_points,possible_comparisons,valid_comparisons,coverage_percent,teacher_positive_percent,dynamic_positive_percent,kci_percent,tp,tn,fp,fn
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.7896924355777224,85.32834580216127,19,6140,38,1021
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,55.900999756157034,92.30675445013411,4494,3077,91,540
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,100.0,100.0,8636,0,0,0
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,70.44504181600956,85.52867383512545,3793,1934,924,45
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,8.692307692307692,65.07692307692308,15,1677,211,697
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,35.687263556116015,74.96847414880202,1023,1355,109,685
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,98.17190506735086,98.17190506735086,3061,0,0,57
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_gain005_ss0001_seed42,gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,76.62290299051787,64.87964989059081,1216,563,885,78
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,air2_SP,4417,8834,7218,81.70704097803939,14.408423385979496,0.914380714879468,85.97949570518149,47,6159,19,993
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_H2S,HEATER2_output_T_SP,4417,8834,8202,92.84582295675798,61.37527432333577,48.65886369178249,85.06461838575957,3900,3077,91,1134
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,air2_SP,4417,8834,8636,97.75865972379444,100.0,99.88420565076424,99.88420565076424,8626,0,0,10
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,in_range,B35_SO2,HEATER2_output_T_SP,4417,8834,6696,75.7980529771338,57.317801672640385,68.77240143369175,68.17502986857825,3156,1409,1449,682
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,air2_SP,1947,3894,2600,66.76938880328711,27.384615384615383,1.3076923076923077,72.46153846153847,15,1869,19,697
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_H2S,HEATER2_output_T_SP,1947,3894,3172,81.45865434001027,53.84615384615385,36.097099621689786,76.32408575031526,1051,1370,94,657
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,air2_SP,1947,3894,3118,80.07190549563431,100.0,92.3348300192431,92.3348300192431,2879,0,0,239
transformer_layerwise_63var_decoder_input_sp_PGIN_From_Scratch_no_gain_seed42,no_gain,42,out_range,B35_SO2,HEATER2_output_T_SP,1947,3894,2742,70.41602465331279,47.19183078045222,79.50401167031364,56.309263311451495,1138,406,1042,156
