model,case,target,evaluation,RMSE,R2
Gain + SS=0.01,R5-1,B35_SO2,H18,0.0001281599594285,0.9442925096587004
Gain + SS=0.01,R5-1,B35_SO2,TS,0.0001352883600388,0.9365963577503634
Gain + SS=0.01,R5-2,B35_H2S,H1,0.0004361480677848,0.6254255396586915
Gain + SS=0.01,R5-2,B35_H2S,H18,0.0005941553252668,0.4790136251278489
Gain + SS=0.01,R5-2,B35_H2S,TS,0.0007059334300664,0.1633699495059755
Gain + SS=0.01,R5-2,B35_SO2,H1,0.000201284689915,0.9317708642157158
Gain + SS=0.01,R5-2,B35_SO2,H18,0.0003807975507375,0.8899040524928878
Gain + SS=0.01,R5-2,B35_SO2,TS,0.0004121078613724,0.8557718897203859
Gain + SS=0.01,R5-6,B35_H2S,H1,0.0004330133478966,0.923120428762338
Gain + SS=0.01,R5-6,B35_H2S,H18,0.0006521267702322,0.825757911439156
Gain + SS=0.01,R5-6,B35_H2S,TS,0.0006117290217387,0.8635049227660604
Gain + SS=0.01,R5-6,B35_SO2,H1,0.0001703043219229,0.9328884287581456
Gain + SS=0.01,R5-6,B35_SO2,H18,0.0001831713110394,0.8892657473249517
Gain + SS=0.01,R5-6,B35_SO2,TS,0.0001962943637396,0.9070922426587936
Gain + SS=0.01,R5-11,B35_H2S,H1,0.0002707995155198,0.6977264388127171
Gain + SS=0.01,R5-11,B35_H2S,H18,0.000226588273296,0.7288657238408047
Gain + SS=0.01,R5-11,B35_H2S,TS,0.0003274967221426,0.6127917309822914
Gain + SS=0.01,R5-11,B35_SO2,H1,0.0006497120221468,0.7508124244512935
Gain + SS=0.01,R5-11,B35_SO2,H18,0.0013653725944242,-13.873781032433858
Gain + SS=0.01,R5-11,B35_SO2,TS,0.0014502432004776,-0.4201310329270136
Gain + SS=0.01,R5-12,B35_H2S,H1,0.0021359725424288,-1.84198048570001
Gain + SS=0.01,R5-12,B35_H2S,H18,0.002578433942237,-3.9146553146823857
Gain + SS=0.01,R5-12,B35_H2S,TS,0.0027821800826133,-4.239915457511455
Gain + SS=0.01,R5-12,B35_SO2,H1,0.00084485715364,0.819477879596697
Gain + SS=0.01,R5-12,B35_SO2,H18,0.0004526159289556,0.9289171624286158
Gain + SS=0.01,R5-12,B35_SO2,TS,0.0006217251570992,0.8909541567298271
Difficult-GradNorm,R5,B35_H2S,H1,0.0003336480695847,0.7597374677937855
Difficult-GradNorm,R5,B35_H2S,H18,0.0005071271669223,0.4566647386891401
Difficult-GradNorm,R5,B35_H2S,TS,0.0004962274579747,0.4242762684429995
Difficult-GradNorm,R5,B35_SO2,H1,0.0001988495185346,0.6979552523468903
Difficult-GradNorm,R5,B35_SO2,H18,0.0003384200787295,-0.1805176789187859
Difficult-GradNorm,R5,B35_SO2,TS,0.0003418043624716,-0.0184037941650252
Difficult-GradNorm,R5-1,B35_H2S,H1,0.0007584540034003,0.9113825052259829
Difficult-GradNorm,R5-1,B35_H2S,H18,0.0008962296508262,0.8934668447709844
Difficult-GradNorm,R5-1,B35_H2S,TS,0.0009868608819184,0.8540956155447871
Difficult-GradNorm,R5-1,B35_SO2,H1,0.0001578378740613,0.9063132832110938
Difficult-GradNorm,R5-1,B35_SO2,H18,0.0002388188236699,0.8065601348220953
Difficult-GradNorm,R5-1,B35_SO2,TS,0.0002649619478191,0.7568017991693236
Difficult-GradNorm,R5-2,B35_H2S,H1,0.0004871528397365,0.5326946707099098
Difficult-GradNorm,R5-2,B35_H2S,H18,0.0006426222654566,0.3905502330731127
Difficult-GradNorm,R5-2,B35_H2S,TS,0.0007303290108899,0.1045464404558249
Difficult-GradNorm,R5-2,B35_SO2,H1,0.0002273766419473,0.9129357063311868
Difficult-GradNorm,R5-2,B35_SO2,H18,0.000417088830012,0.867919057541648
Difficult-GradNorm,R5-2,B35_SO2,TS,0.0003694612567542,0.8840779850908531
Difficult-GradNorm,R5-6,B35_H2S,H1,0.0004993644284021,0.8977546443134148
Difficult-GradNorm,R5-6,B35_H2S,H18,0.0007061809273208,0.7956752488857375
Difficult-GradNorm,R5-6,B35_H2S,TS,0.0006721147947385,0.8352271211929673
Difficult-GradNorm,R5-6,B35_SO2,H1,0.0002270287782083,0.8807364062549372
Difficult-GradNorm,R5-6,B35_SO2,H18,0.0002240356492151,0.8343462272306329
Difficult-GradNorm,R5-6,B35_SO2,TS,0.0002415653063399,0.8592963254557666
Difficult-GradNorm,R5-11,B35_H2S,H1,0.0003339508548471,0.5403052799434283
Difficult-GradNorm,R5-11,B35_H2S,H18,0.0003401885136014,0.3888485379862477
Difficult-GradNorm,R5-11,B35_H2S,TS,0.0005197766001473,0.0246417622635003
Difficult-GradNorm,R5-11,B35_SO2,H1,0.000524648025457,0.8375122353137504
Difficult-GradNorm,R5-11,B35_SO2,H18,0.001097871886998,-8.61661765311173
Difficult-GradNorm,R5-11,B35_SO2,TS,0.0015644504066055,-0.6526098726002032
Difficult-GradNorm,R5-12,B35_H2S,H1,0.002319687661472,-2.351882493739026
Difficult-GradNorm,R5-12,B35_H2S,H18,0.002577781711713,-3.912169245339952
Difficult-GradNorm,R5-12,B35_H2S,TS,0.0027246417233173,-4.025422862814004
Difficult-GradNorm,R5-12,B35_SO2,H1,0.0009839655161696,0.7551367487568881
Difficult-GradNorm,R5-12,B35_SO2,H18,0.0004670497814269,0.9243112323126644
Difficult-GradNorm,R5-12,B35_SO2,TS,0.0006781832833594,0.8702502902535022
