Unnamed: 0,i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
1074,0.0,1074.0,1074.0,3015.788539979251,48.56478930355355,54.9433445102114,66.49186618486546,83.6,1.6722,2646.8456244994554,2646.5563201114255,279.99999999854026,280.0,37.64092585666075,35.458255900662245,599.9999587739113,599.9999591461915,1.6221371748977642,1219.506405728874,1219.506658160098,1.622195,1.6221949998864031,337.52002672852683,146.24279911759544,1.5723172245160415,934.45617700781,935.1150348646636,1.571315,1.5713149995564908,333.6726583010277,935.115034864658,1.5214486724962528,352.3907644683515,1.5212912331483186,333.6726583010277,1.520795,1.5207951688995047,190.82594812133192,318.60383184443833,190.82594818558243,1.4268675184494408,275.9755027273666,275.9755190472054,1.4256393572565047,318.60383184443833,275.9755190472054,312.53372594712783,1.4253932413079564,1.411445,1.4114450583993965,13.948182908559923,316.31018256803577,1.361375,1.3613750154989148,71.03085600695552,242.76453069630065,71.03085600775641,1.2703023897796757,230.0,230.0000703305649,1.4256393572565047,242.76453069630065,230.0000703305649,264.60857045811923,1.269785352887283,1.251615,1.251614981447841,18.17037143944189,241.1617554899545,1.200915,1.2009150142000224,179.17919946359615,0.0179397834068366,0.0073425091832932,2.4432769451151577,2.010099177987712,0.9079912481129312
1075,0.0,1075.0,1075.0,3015.7885399792945,48.56478930355425,54.94334451021219,66.4918661848664,83.6,1.6722,2646.8456244995155,2646.5563201114624,279.9999999985553,280.0,37.64092567258924,35.45823975399758,599.9999587739113,599.9999591424522,1.622137174899054,1219.506405728874,1219.506655624937,1.622195,1.622194999887551,337.52002671853285,146.24279892822247,1.5723172245170636,934.4561769679162,935.1150348164604,1.571315,1.571314999557593,333.67265829110136,935.1150348164546,1.5214486720746183,352.3907643944332,1.5212912327266528,333.67265829110136,1.520795,1.5207951684778156,190.8268914491045,318.60360610084905,190.8268915131966,1.4268675364933787,275.9764800499213,275.97649632826284,1.425639373757118,318.60360610084905,275.9764963282628,312.53481001821666,1.425393257561273,1.411445,1.4114450582544087,13.94819930686464,316.3099506274149,1.361375,1.3613750152214446,71.0309204183928,242.76455696680728,71.03092041919405,1.270302385301199,230.0,230.0000703739776,1.425639373757118,242.76455696680728,230.0000703739776,264.60839953924835,1.2697853483771222,1.251615,1.2516149814204387,18.1703669566835,241.16178965602052,1.200915,1.2009150137733826,179.17915270123572,0.0179397859279168,0.0073424990459579,2.443280661751339,2.010099177987712,0.9079912587311416
1076,0.0,1076.0,1076.0,3015.788539979314,48.56478930355457,54.94334451021255,66.49186618486685,83.6,1.6722,2646.845624499545,2646.556320111481,279.99999999856936,280.0,37.64092549036615,35.458223769493365,599.9999587739113,599.9999591387517,1.6221371749003324,1219.506405728874,1219.5066531152368,1.622195,1.6221949998886884,337.5200267086361,146.24279874075387,1.572317224518086,934.4561769284228,935.1150347687372,1.571315,1.571314999558695,333.6726582812722,935.1150347687324,1.521448671654009,352.39076432124483,1.5212912323060122,333.6726582812722,1.520795,1.5207951680571514,190.8278323806499,318.6033809406863,190.82783244457949,1.4268675544921348,275.97745488730993,275.9774711242578,1.4256393902164015,318.6033809406863,275.9774711242578,312.5358913231934,1.4253932737738757,1.411445,1.4114450581097684,13.94821566410731,316.3097192865117,1.361375,1.3613750149458457,71.03098465133566,242.76458291268932,71.03098465213633,1.270302380810113,230.0,230.0000704168133,1.4256393902164015,242.76458291268932,230.0000704168133,264.6082292550456,1.269785343855259,1.251615,1.2516149813934236,18.17036246183568,241.16182346967707,1.200915,1.2009150133491964,179.17910581262242,0.0179397883753274,0.0073424889083698,2.4432843684486234,2.010099177987712,0.9079912697801577
1077,0.0,1077.0,1077.0,3015.788539979334,48.5647893035549,54.94334451021291,66.49186618486729,83.6,1.6722,2646.845624499574,2646.5563201114983,279.99999999858335,280.0,37.64092530997314,35.458207945521224,599.9999587739113,599.9999591350878,1.6221371749015976,1219.506405728874,1219.5066506307412,1.622195,1.6221949998898144,337.5200266988389,146.24279855516792,1.572317224519107,934.4561768893254,935.1150347214954,1.571315,1.571314999559795,333.67265827154154,935.1150347214896,1.5214486712344186,352.3907642487956,1.5212912318863907,333.67265827154154,1.520795,1.5207951676375062,190.8287709219688,318.6031563624319,190.82877098574264,1.4268675724458222,275.97842724577225,275.9784434414307,1.425639406634459,318.6031563624319,275.9784434414307,312.5369698690529,1.425393289945866,1.411445,1.411445057965478,13.948231980388082,316.30948854376703,1.361375,1.361375014672123,71.03104870667258,242.7646085359516,71.03104870747295,1.2703023763065733,230.0,230.0000704590616,1.425639406634459,242.7646085359516,230.0000704590616,264.6080596029854,1.2697853393218443,1.251615,1.2516149813668067,18.17035795503763,241.16185693303584,1.200915,1.2009150129274673,179.17905879844147,0.0179397907495527,0.007342478770657,2.443288065230231,2.010099177987712,0.9079912812568012
1078,0.0,1078.0,1078.0,3015.788539979383,48.56478930355568,54.943344510213805,66.49186618486836,83.6,1.6722,2646.8456244996414,2646.556320111541,279.99999999859824,280.0,37.64092513139206,35.458192280468914,599.9999587739113,599.9999591314601,1.6221371749028486,1219.506405728874,1219.5066481711974,1.622195,1.6221949998909275,337.5200266891439,146.24279837144454,1.5723172245201218,934.4561768506233,935.115034674732,1.571315,1.571314999560888,333.67265826191306,935.1150346747272,1.5214486708158306,352.3907641770864,1.5212912314677716,333.67265826191306,1.520795,1.520795167218863,190.82970707904255,318.602932364541,190.82970714265545,1.426867590354533,275.97939713153335,275.9794132860061,1.4256394230113736,318.602932364541,275.97941328600604,312.5380456627662,1.425393306077326,1.411445,1.4114450578215234,13.948248255802651,316.3092583975909,1.361375,1.3613750144002486,71.03111258528585,242.76463383850432,71.0311125860863,1.2703023717906965,230.0,230.0000705007444,1.4256394230113736,242.76463383850432,230.0000705007444,264.60789058056963,1.269785334776988,1.251615,1.2516149813405726,18.170353436415265,241.1618900481137,1.200915,1.2009150125081742,179.17901165937556,0.0179397930510737,0.007342468632947,2.443291752119228,2.010099177987712,0.9079912931579404
1079,0.0,1079.0,1079.0,3015.788539979398,48.56478930355592,54.94334451021408,66.49186618486868,83.6,1.6722,2646.845624499664,2646.5563201115547,279.99999999861177,280.0,37.64092495460417,35.45817677274031,599.9999587739113,599.9999591278698,1.622137174904089,1219.506405728874,1219.506645736355,1.622195,1.6221949998920315,337.5200266795418,146.24279818956717,1.5723172245211396,934.4561768123064,935.1150346284284,1.571315,1.5713149995619826,333.6726582523751,935.1150346284244,1.521448670398267,352.3907641060752,1.521291231050177,333.6726582523751,1.520795,1.5207951668012445,190.83064085784537,318.602708945574,190.83064092129743,1.4268676082183969,275.9803645507812,275.9803806641709,1.4256394393472651,318.602708945574,275.9803806641709,312.5391187112809,1.4253933221683743,1.411445,1.411445057677918,13.948264490456276,316.30902884649964,1.361375,1.3613750141302223,71.0311762880546,242.76465882231545,71.03117628885414,1.2703023672626268,230.0,230.00007054185187,1.4256394393472651,242.76465882231545,230.00007054185187,264.60772218529775,1.2697853302208273,1.251615,1.2516149813147237,18.170348906103804,241.1619228169816,1.200915,1.2009150120913052,179.17896439610337,0.0179397952803695,0.0073424584953661,2.44329542913881,2.010099177987712,0.9079913054804474
1080,0.0,1080.0,1080.0,3015.788539979467,48.56478930355703,54.943344510215326,66.4918661848702,83.6,1.6722,2646.8456244997565,2646.556320111613,279.999999998627,280.0,37.64092477959216,35.45816142075554,599.9999587739113,599.9999591243137,1.622137174905314,1219.506405728874,1219.506643325965,1.622195,1.622194999893121,337.52002667004314,146.24279800951513,1.5723172245221482,934.4561767743808,935.1150345825968,1.571315,1.5713149995630675,333.67265824294054,935.1150345825916,1.5214486699816978,352.3907640357986,1.5212912306335764,333.67265824294054,1.520795,1.5207951663846198,190.831572264332,318.6024861039722,190.83157232762548,1.4268676260375,275.9813295097246,275.9813455821353,1.4256394556422107,318.6024861039722,275.9813455821353,312.5401890215486,1.4253933382190862,1.411445,1.411445057534643,13.948280684443093,316.3087998888952,1.361375,1.361375013862015,71.03123981584982,242.7646834892634,71.0312398166474,1.2703023627224783,230.0,230.0000705824075,1.4256394556422107,242.7646834892634,230.0000705824075,264.6075544147029,1.2697853256534717,1.251615,1.2516149812892452,18.170344364226267,241.1619552416242,1.200915,1.200915011676838,179.1789170093014,0.017939797437916,0.0073424483580391,2.443299096312181,2.010099177987712,0.9079913182212324
1081,0.0,1081.0,1081.0,3015.7885399794577,48.564789303556886,54.94334451021517,66.49186618487002,83.6,1.6722,2646.845624499748,2646.5563201116074,279.9999999986397,280.0,37.640924606337286,35.4581462229503,599.9999587739113,599.9999591207957,1.6221371749065303,1219.506405728874,1219.5066409397828,1.622195,1.6221949998942042,337.52002666062987,146.24279783127176,1.572317224523165,934.4561767368276,935.1150345372153,1.571315,1.57131499956416,333.6726582335918,935.1150345372104,1.5214486695661615,352.39076396620027,1.521291230218009,333.6726582335918,1.520795,1.520795165969028,190.83250130444625,318.6022638383146,190.8325013675823,1.4268676438119945,275.9822920145218,275.9823080460557,1.4256394718963532,318.6022638383146,275.9823080460557,312.5412566004713,1.4253933542296031,1.411445,1.4114450573917354,13.94829683786769,316.3085715233068,1.361375,1.3613750135956657,71.03130316954365,242.76470784136595,71.03130317034177,1.2703023581704282,230.0,230.0000706223715,1.4256394718963532,242.76470784136595,230.0000706223715,264.6073872662765,1.26978532107509,1.251615,1.251614981264166,18.170339810923863,241.16198732415384,1.200915,1.2009150112647808,179.17886949964316,0.0179397995241859,0.00734243822109,2.443302753662489,2.010099177987712,0.9079913313771922
1082,0.0,1082.0,1082.0,3015.788539979536,48.56478930355814,54.94334451021659,66.49186618487172,83.6,1.6722,2646.8456244998533,2646.5563201116734,279.99999999865474,280.0,37.64092443482294,35.45813117777632,599.9999587739113,599.9999591173107,1.6221371749077305,1219.506405728874,1219.506638577565,1.622195,1.6221949998952716,337.5200266513226,146.24279765481907,1.572317224524168,934.4561766996604,935.1150344923008,1.571315,1.5713149995652382,333.67265822434604,935.1150344922956,1.5214486691516018,352.3907638973287,1.5212912298034182,333.67265822434604,1.520795,1.5207951655544127,190.83342798410945,318.6020421469904,190.8334280470881,1.4268676615419371,275.9832520713523,275.9832680621126,1.4256394881097407,318.6020421469904,275.9832680621126,312.5423214549738,1.425393370199972,1.411445,1.4114450572491524,13.948312950819776,316.3083437480876,1.361375,1.361375013331122,71.03136635000148,242.76473188046012,71.03136635079989,1.2703023536065754,230.0,230.000070661784,1.4256394881097407,242.76473188046012,230.000070661784,264.6072207375765,1.269785316485778,1.251615,1.2516149812394608,18.170335246317173,241.16201906652265,1.200915,1.200915010855113,179.17882186779875,0.0179398015396518,0.0073424280846417,2.4433064012130665,2.010099177987712,0.9079913449452583
1083,0.0,1083.0,1083.0,3015.788539979537,48.56478930355815,54.9433445102166,66.49186618487175,83.6,1.6722,2646.8456244998574,2646.5563201116756,279.9999999986671,280.0,37.64092426503058,35.45811628370067,599.9999587739113,599.999959113863,1.6221371749089224,1219.506405728874,1219.506636239071,1.622195,1.6221949998963323,337.5200266420987,146.24279748013942,1.5723172245251795,934.4561766628616,935.1150344478272,1.571315,1.571314999566324,333.672658215184,935.1150344478228,1.5214486687380706,352.3907638291203,1.5212912293898555,333.672658215184,1.520795,1.5207951651408254,190.83435230924013,318.6018210286521,190.8343523720606,1.4268676792274764,275.98420968633644,275.9842256364248,1.425639504282512,318.6018210286521,275.9842256364248,312.54338359191667,1.4253933861303298,1.411445,1.411445057106921,13.948329023408812,316.3081165618409,1.361375,1.361375013068385,71.03142935808339,242.7647556084592,71.03142935888059,1.270302349031056,230.0,230.00007070063924,1.425639504282512,242.7647556084592,230.00007070063924,264.60705482614554,1.269785311885664,1.251615,1.2516149812151292,18.170330670534973,241.16205047074084,1.200915,1.2009150104478172,179.1787741144363,0.0179398034847827,0.0073424179488164,2.443310038987167,2.010099177987712,0.9079913589223808
