i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,10.0,10.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979088,251.8817524,113.9979088,1.420144388,223.9726632,223.9726632,1.419502151,251.8817524,223.9726632,262.725337,1.419362581,1.411445,1.411445,7.917580794,250.0006015,1.361375,1.361375,42.81393956,163.7761969,42.81393956,1.261302711,229.9945144,229.9945144,1.419502151,163.7761969,229.9945144,287.0977334,1.261054855,1.251615,1.251615,9.439854914,161.9858263,1.200915,1.200915,160.7121156,0.011807021,0.002008738,5.877831394,2.045433029,0.959484629
0.0,11.0,11.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979086,251.8817525,113.9979086,1.420144388,223.9726629,223.9726629,1.419502151,251.8817525,223.9726629,262.7253366,1.419362581,1.411445,1.411445,7.917580793,250.0006016,1.361375,1.361375,42.81393953,163.7761969,42.81393953,1.261302711,229.9945144,229.9945144,1.419502151,163.7761969,229.9945144,287.0977334,1.261054855,1.251615,1.251615,9.439854919,161.9858264,1.200915,1.200915,160.7121162,0.011807021,0.002008738,5.877831376,2.045433029,0.959484629
0.0,12.0,12.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979084,251.8817526,113.9979084,1.420144388,223.9726627,223.9726627,1.419502151,251.8817526,223.9726627,262.7253363,1.419362581,1.411445,1.411445,7.917580793,250.0006017,1.361375,1.361375,42.8139395,163.776197,42.8139395,1.261302711,229.9945143,229.9945143,1.419502151,163.776197,229.9945143,287.0977335,1.261054855,1.251615,1.251615,9.439854925,161.9858264,1.200915,1.200915,160.7121168,0.011807021,0.002008738,5.877831358,2.045433029,0.959484629
0.0,13.0,13.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979082,251.8817527,113.9979082,1.420144388,223.9726624,223.9726624,1.419502151,251.8817527,223.9726624,262.7253359,1.419362581,1.411445,1.411445,7.917580792,250.0006018,1.361375,1.361375,42.81393947,163.776197,42.81393947,1.261302711,229.9945142,229.9945142,1.419502151,163.776197,229.9945142,287.0977335,1.261054855,1.251615,1.251615,9.43985493,161.9858264,1.200915,1.200915,160.7121175,0.011807021,0.002008738,5.87783134,2.045433029,0.959484629
0.0,14.0,14.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.997908,251.8817528,113.997908,1.420144388,223.9726622,223.9726622,1.419502151,251.8817528,223.9726622,262.7253356,1.419362581,1.411445,1.411445,7.917580792,250.0006019,1.361375,1.361375,42.81393944,163.7761971,42.81393944,1.261302711,229.9945141,229.9945141,1.419502151,163.7761971,229.9945141,287.0977336,1.261054855,1.251615,1.251615,9.439854936,161.9858265,1.200915,1.200915,160.7121181,0.011807021,0.002008738,5.877831322,2.045433029,0.959484629
0.0,15.0,15.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979078,251.8817528,113.9979078,1.420144388,223.972662,223.972662,1.419502151,251.8817528,223.972662,262.7253352,1.419362581,1.411445,1.411445,7.917580791,250.000602,1.361375,1.361375,42.81393941,163.7761971,42.81393941,1.261302711,229.994514,229.994514,1.419502151,163.7761971,229.994514,287.0977336,1.261054855,1.251615,1.251615,9.439854941,161.9858265,1.200915,1.200915,160.7121187,0.011807021,0.002008738,5.877831304,2.045433029,0.959484629
0.0,16.0,16.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979076,251.8817529,113.9979076,1.420144388,223.9726617,223.9726617,1.419502151,251.8817529,223.9726617,262.7253348,1.419362581,1.411445,1.411445,7.91758079,250.0006021,1.361375,1.361375,42.81393938,163.7761972,42.81393938,1.261302711,229.9945139,229.9945139,1.419502151,163.7761972,229.9945139,287.0977337,1.261054855,1.251615,1.251615,9.439854947,161.9858266,1.200915,1.200915,160.7121194,0.011807021,0.002008738,5.877831286,2.045433029,0.959484628
0.0,17.0,17.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979074,251.881753,113.9979074,1.420144388,223.9726615,223.9726615,1.419502151,251.881753,223.9726615,262.7253345,1.419362581,1.411445,1.411445,7.91758079,250.0006022,1.361375,1.361375,42.81393934,163.7761972,42.81393934,1.261302711,229.9945139,229.9945139,1.419502151,163.7761972,229.9945139,287.0977337,1.261054855,1.251615,1.251615,9.439854952,161.9858266,1.200915,1.200915,160.71212,0.011807021,0.002008738,5.877831268,2.045433029,0.959484628
0.0,18.0,18.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979072,251.8817531,113.9979072,1.420144388,223.9726613,223.9726613,1.419502151,251.8817531,223.9726613,262.7253341,1.419362581,1.411445,1.411445,7.917580789,250.0006023,1.361375,1.361375,42.81393931,163.7761972,42.81393931,1.261302711,229.9945138,229.9945138,1.419502151,163.7761972,229.9945138,287.0977337,1.261054855,1.251615,1.251615,9.439854958,161.9858266,1.200915,1.200915,160.7121206,0.011807021,0.002008738,5.877831251,2.045433029,0.959484628
0.0,19.0,19.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.997907,251.8817532,113.997907,1.420144388,223.972661,223.972661,1.419502151,251.8817532,223.972661,262.7253338,1.419362581,1.411445,1.411445,7.917580788,250.0006023,1.361375,1.361375,42.81393928,163.7761973,42.81393928,1.261302711,229.9945137,229.9945137,1.419502151,163.7761973,229.9945137,287.0977338,1.261054855,1.251615,1.251615,9.439854963,161.9858267,1.200915,1.200915,160.7121212,0.011807021,0.002008738,5.877831233,2.045433029,0.959484628
0.0,20.0,20.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190,25.50727261,24.02452691,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,113.9979068,251.8817533,113.9979068,1.420144388,223.9726608,223.9726608,1.419502151,251.8817533,223.9726608,262.7253334,1.419362581,1.411445,1.411445,7.917580788,250.0006024,1.361375,1.361375,42.81393925,163.7761973,42.81393925,1.261302711,229.9945136,229.9945136,1.419502151,163.7761973,229.9945136,287.0977338,1.261054855,1.251615,1.251615,9.439854969,161.9858267,1.200915,1.200915,160.7121219,0.011807021,0.002008738,5.877831215,2.045433029,0.959484628
