i,j,steps,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air_m3,air_SP_m3,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0.0,10.0,10.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000344,251.8807833,114.0000344,1.420144389,223.9751307,223.9751307,1.419502153,251.8807833,223.9751307,262.7290318,1.419362583,1.411445,1.411445,7.917582579,249.9995773,1.361375,1.361375,42.81390314,163.7756739,42.81390314,1.259985522,155,154.9999999,1.419502153,163.7756739,154.9999999,217.5791907,1.259759659,1.251615,1.251615,8.144659208,161.8770059,1.200915,1.200915001,91.04739406,0.009200769,0.000669927,13.73397848,2.045433029,0.971320229
0.0,11.0,11.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000338,251.8807836,114.0000338,1.420144389,223.97513,223.97513,1.419502153,251.8807836,223.97513,262.7290307,1.419362583,1.411445,1.411445,7.917582579,249.9995776,1.361375,1.361375,42.8139032,163.7756741,42.8139032,1.259985522,155,154.9999999,1.419502153,163.7756741,154.9999999,217.5791911,1.259759659,1.251615,1.251615,8.144659228,161.8770061,1.200915,1.200915001,91.04740224,0.009200769,0.000669927,13.7339781,2.045433029,0.971320229
0.0,12.0,12.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000332,251.8807839,114.0000332,1.420144389,223.9751293,223.9751293,1.419502153,251.8807839,223.9751293,262.7290297,1.419362583,1.411445,1.411445,7.917582579,249.9995779,1.361375,1.361375,42.81390325,163.7756742,42.81390325,1.259985522,155,154.9999999,1.419502153,163.7756742,154.9999999,217.5791915,1.259759659,1.251615,1.251615,8.144659249,161.8770062,1.200915,1.200915001,91.04741042,0.009200769,0.000669927,13.73397772,2.045433029,0.971320229
0.0,13.0,13.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000327,251.8807842,114.0000327,1.420144389,223.9751287,223.9751286,1.419502153,251.8807842,223.9751286,262.7290286,1.419362583,1.411445,1.411445,7.917582578,249.9995782,1.361375,1.361375,42.81390331,163.7756744,42.81390331,1.259985522,155,154.9999999,1.419502153,163.7756744,154.9999999,217.5791918,1.259759659,1.251615,1.251615,8.144659269,161.8770064,1.200915,1.200915001,91.0474186,0.009200769,0.000669928,13.73397735,2.045433029,0.971320228
0.0,14.0,14.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000321,251.8807844,114.0000321,1.420144389,223.975128,223.9751279,1.419502153,251.8807844,223.9751279,262.7290276,1.419362583,1.411445,1.411445,7.917582578,249.9995785,1.361375,1.361375,42.81390337,163.7756745,42.81390337,1.259985522,155,154.9999999,1.419502153,163.7756745,154.9999999,217.5791922,1.259759659,1.251615,1.251615,8.144659289,161.8770065,1.200915,1.200915001,91.04742677,0.009200769,0.000669928,13.73397697,2.045433029,0.971320228
0.0,15.0,15.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000315,251.8807847,114.0000315,1.420144389,223.9751273,223.9751273,1.419502153,251.8807847,223.9751273,262.7290266,1.419362583,1.411445,1.411445,7.917582577,249.9995788,1.361375,1.361375,42.81390342,163.7756747,42.81390342,1.259985522,155,154.9999999,1.419502153,163.7756747,154.9999999,217.5791926,1.259759659,1.251615,1.251615,8.144659309,161.8770066,1.200915,1.200915001,91.04743495,0.009200769,0.000669928,13.73397659,2.045433029,0.971320228
0.0,16.0,16.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000309,251.880785,114.0000309,1.420144389,223.9751266,223.9751266,1.419502153,251.880785,223.9751266,262.7290255,1.419362583,1.411445,1.411445,7.917582577,249.9995791,1.361375,1.361375,42.81390348,163.7756749,42.81390348,1.259985522,155,154.9999999,1.419502153,163.7756749,154.9999999,217.5791929,1.259759659,1.251615,1.251615,8.144659329,161.8770068,1.200915,1.200915001,91.04744313,0.009200769,0.000669928,13.73397621,2.045433029,0.971320228
0.0,17.0,17.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727256,24.02452686,599.9999588,599.9999587,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876912,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000303,251.8807852,114.0000303,1.420144389,223.9751259,223.9751259,1.419502153,251.8807852,223.9751259,262.7290245,1.419362583,1.411445,1.411445,7.917582576,249.9995794,1.361375,1.361375,42.81390354,163.775675,42.81390354,1.259985522,155,154.9999999,1.419502153,163.775675,154.9999999,217.5791933,1.259759659,1.251615,1.251615,8.144659349,161.8770069,1.200915,1.200915001,91.0474513,0.009200769,0.000669928,13.73397584,2.045433029,0.971320228
0.0,18.0,18.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069316,1.521193381,273.1139313,1.520795,1.520795,114.0000297,251.8807855,114.0000297,1.420144389,223.9751252,223.9751252,1.419502153,251.8807855,223.9751252,262.7290235,1.419362583,1.411445,1.411445,7.917582576,249.9995797,1.361375,1.361375,42.81390359,163.7756752,42.81390359,1.259985522,155,154.9999999,1.419502153,163.7756752,154.9999999,217.5791937,1.259759659,1.251615,1.251615,8.144659369,161.8770071,1.200915,1.200915001,91.04745948,0.00920077,0.000669928,13.73397546,2.045433029,0.971320227
0.0,19.0,19.0,2492.3987777186444,40.13637557,45.40793324,54.95221027,83.6,1.6722,2187.48586304772,2187.2467678371486,190.0,190.0,25.50727255,24.02452686,599.9999588,599.9999588,1.622168383,1219.506406,1219.506406,1.622195,1.622195,276.2319733,135.5788464,1.571980399,923.2876913,922.5406806,1.571315,1.571315,273.1139313,922.5406806,1.521297889,194.8069317,1.521193381,273.1139313,1.520795,1.520795,114.0000291,251.8807858,114.0000291,1.420144389,223.9751245,223.9751245,1.419502153,251.8807858,223.9751245,262.7290224,1.419362583,1.411445,1.411445,7.917582576,249.9995799,1.361375,1.361375,42.81390365,163.7756754,42.81390365,1.259985522,155,154.9999999,1.419502153,163.7756754,154.9999999,217.579194,1.259759659,1.251615,1.251615,8.144659389,161.8770072,1.200915,1.200915001,91.04746766,0.00920077,0.000669928,13.73397508,2.045433029,0.971320227
