,0
Row/Case,2142.913668674316
Description,
HEATER2_output_T_SP,23.785428013553396
air2_SP_m3,122.19197591468959
air2_SP,7.086969694202606
acidgas_Fm,9.350769888557249
AIRFLOW,1017.4772532804533
acidgas_Fv,165.88202749834244
H2S,456.42766672036544
SO2OUT,1.3682774182069604
H2SOUT,2.529149303290331
B35_H2S,0.014570849837483744
B35_SO2,0.01620743147928128
acidgas_T,2.8423021575065747e-14
acidgas_P,2.458796225201259e-06
Total_S,12.446406169356134
acidgas_CO2,5.551371401380029e-17
acidgas_H2O,5.551371401380029e-17
acidgas_H2S,1.6654114204140085e-16
air_acidgas_ratio,0.049575157533783436
