,0
Row/Case,3487.3412427292033
Description,
HEATER2_output_T_SP,190.04695100175422
air2_SP_m3,264.43814457729576
air2_SP,15.3380164883538
acidgas_Fm,140.22394583648787
AIRFLOW,1345.4336305537806
acidgas_Fv,2487.563346287785
H2S,597.5668846369864
SO2OUT,1.2363248282761519
H2SOUT,2.295544975853107
B35_H2S,0.013451580061951804
B35_SO2,0.014941288910811559
acidgas_T,83.60000000000002
acidgas_P,1.6721970473640473
Total_S,28.39286885430708
acidgas_CO2,0.28567499999999996
acidgas_H2O,0.32319599999999993
acidgas_H2S,0.39112800000000014
air_acidgas_ratio,0.10673710305117971
