target_flow,target_air2,target_t2,Total_S_model_base,Total_S_model_air2,Total_S_model_t2,Total_S_true_base,Total_S_true_air2,Total_S_true_t2,delta_air2_true,delta_t2_true,delta_air2_model,delta_t2_model,Total_S_model_air2_delta,Total_S_model_t2_delta,Total_S_model_air2_gain,Total_S_model_t2_gain,Total_S_true_air2_delta,Total_S_true_air2_gain,air2_sign_match,Total_S_true_t2_delta,Total_S_true_t2_gain,t2_sign_match
121.0,190.0,155.0,0.040610541410427414,0.04006002143288462,0.04081578501965064,0.04077941,0.040203631,0.040958133,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.000550519977542796,-0.0002052436092232282,0.002310644138638636,-8.004502520696482e-05,0.0005757790000000054,0.0024166613851861612,True,-0.0001787229999999987,-6.97019853344365e-05,True
121.0,190.0,178.0,0.039688946184009116,0.039136501785258994,0.03969040220418779,0.040317278,0.039731594,0.040279317,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.0005524443987501224,-1.456020178675077e-06,0.002318721325233803,-5.678479946098408e-07,0.000585683999999996,0.0024582346815728755,True,3.796099999999608e-05,1.480479325705304e-05,False
121.0,190.0,230.0,0.043168284997264175,0.0426471255156461,0.04295370577257058,0.043157561,0.042604298,0.042951683,0.23825390000000013,2.564103000000017,0.23825390000000013,2.564103000000017,0.000521159481618072,0.00021457922469359653,0.0021874121750706777,8.36858834039019e-05,0.0005532629999999983,0.0023221571609111035,True,0.00020587799999999962,8.029240635029023e-05,True
121.0,223.0,155.0,0.04491815759233653,0.04439058190040149,0.04510817080333261,0.045165674,0.044632624,0.04533013,0.23825379999999896,2.564101999999991,0.23825379999999896,2.564101999999991,0.0005275756919350394,-0.00019001321099608448,0.0022143432421016652,-7.410516859161029e-05,0.0005330500000000002,0.002237320034349935,True,-0.00016445600000000032,-6.413785411032825e-05,True
121.0,223.0,230.0,0.047211107302065625,0.0467193745995367,0.04701890527368409,0.047388543,0.046875245,0.047200278,0.23825379999999896,2.564103000000017,0.23825379999999896,2.564103000000017,0.0004917327025289256,0.00019220202838153566,0.0020639028738636185,7.495877832580609e-05,0.0005132979999999954,0.002154416844558188,True,0.00018826499999999996,7.342333751803211e-05,True
121.0,270.0,155.0,0.05093779426354999,0.05046046562913163,0.051099891951605955,0.051692981,0.051161687,0.051829316,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.0004773286344183572,-0.0001620976880559663,0.0020034452087389,-6.321811224981177e-05,0.0005312940000000016,0.0022299488067141875,True,-0.00013633500000000132,-5.317066169754627e-05,True
121.0,270.0,178.0,0.050111782306160285,0.04962723175273732,0.05012696556969272,0.051353914,0.050817289,0.051321623,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.00048455055342296743,-1.5183263532433933e-05,0.002033757069340595,-5.921474080373552e-06,0.0005366249999999989,0.0022523240962687226,True,3.229100000000373e-05,1.2593492770569908e-05,False
121.0,270.0,230.0,0.05275020870666145,0.05231599948014458,0.052595760095780875,0.053666793,0.053153904,0.053515271,0.23825390000000013,2.564103000000017,0.23825390000000013,2.564103000000017,0.0004342092265168726,0.00015444861088057676,0.001822464297612221,6.023494800348338e-05,0.0005128889999999955,0.002152699284250941,True,0.00015152199999999422,5.909356995409046e-05,True
140.5,190.0,155.0,0.014265029489260807,0.014521518822344818,0.014487179724291688,0.013291325,0.013511467,0.013637752,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,-0.0002564893330840104,-0.000222150235030881,-0.001076537815683228,-8.663861072253825e-05,-0.00022014199999999956,-0.0009239806777559547,True,-0.00034642699999999985,-0.00013510655972344356,True
140.5,190.0,178.0,0.013521030427701766,0.01382153325492748,0.013501104235514455,0.012624936,0.012991532,0.01256033,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,-0.0003005028272257144,1.9926192187311176e-05,-0.0012612713883202507,7.77121666271905e-06,-0.0003665960000000003,-0.0015386778558504188,True,6.460600000000004e-05,2.519634554319612e-05,True
140.5,190.0,230.0,0.017197381217637274,0.017392644791735936,0.016921013563540265,0.01723273,0.017413907,0.01688826,0.23825390000000013,2.564103000000017,0.23825390000000013,2.564103000000017,-0.00019526357409866205,0.0002763676540970088,-0.0008195608722403366,0.00010778336677466035,-0.00018117699999999765,-0.0007604366602183534,True,0.00034447000000000297,0.00013434327716164315,True
140.5,223.0,155.0,0.013145652664975055,0.01319377571531151,0.013440069224746751,0.012750438,0.012711804,0.013251598,0.23825379999999896,2.564101999999991,0.23825379999999896,2.564101999999991,-4.8123050336454365e-05,-0.0002944165597716965,-0.00020198229928108,-0.0001148224835719084,3.86339999999992e-05,0.0001621548113818095,False,-0.0005011600000000005,-0.00019545244299953832,True
140.5,223.0,230.0,0.016495337189724533,0.016499626446942854,0.016168279853868366,0.01667738,0.016658734,0.016262984,0.23825379999999896,2.564103000000017,0.23825379999999896,2.564103000000017,-4.28925721832063e-06,0.0003270573358561679,-1.8002891111582054e-05,0.00012755233930000694,1.8645999999997165e-05,7.826108125031897e-05,False,0.00041439599999999743,0.0001616144125255478,True
140.5,270.0,155.0,0.014459178769717416,0.014230624108043247,0.014820441164338645,0.014864421,0.014572298,0.015423366,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.00022855466167416918,-0.00036126239462122914,0.0009592903271433083,-0.00014089236489860012,0.00029212300000000004,0.0012260995517806839,True,-0.0005589450000000017,-0.00021798859795749294,True
140.5,270.0,178.0,0.012887079094609476,0.012685105454831536,0.012899182400434663,0.012840007,0.012549856,0.012863281,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,0.00020197363977794008,-1.210330582518751e-05,0.0008477243804946739,-4.720290310287013e-06,0.00029015100000000064,0.001217822667330946,True,-2.327400000000021e-05,-9.076861996909753e-06,True
140.5,270.0,230.0,0.018105393550704355,0.0178686838503663,0.017738825557010188,0.018514414,0.018248813,0.018090264,0.23825390000000013,2.564103000000017,0.23825390000000013,2.564103000000017,0.00023670970033805305,0.0003665679936941668,0.0009935186804415496,0.00014296149323727024,0.0002656010000000007,0.0011147813320159735,True,0.00042414999999999814,0.00016541847187885795,True
161.0,190.0,155.0,0.05377124340931905,0.05435451758080546,0.05375629287334173,0.054008798,0.054716542,0.054008332,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,-0.0005832741714864101,1.495053597731777e-05,-0.0024481201419427334,5.8307103139102194e-06,-0.0007077440000000032,-0.002970545288030974,True,4.6599999999757946e-07,1.8174003998186542e-07,True
161.0,190.0,178.0,0.053769576019493795,0.0543467050051578,0.05378091780540763,0.054024409,0.054727741,0.054018943,0.23825390000000013,2.564101999999991,0.23825390000000013,2.564101999999991,-0.0005771289856640049,-1.1341785913832059e-05,-0.0024223275491566123,-4.423297479519963e-06,-0.000703332000000001,-0.002952027228095744,True,5.46600000000258e-06,2.1317404689839165e-06,False
161.0,190.0,230.0,0.053336838279227305,0.05389855127380376,0.053365451984832765,0.054152293,0.05485215,0.054138563,0.23825390000000013,2.564103000000017,0.23825390000000013,2.564103000000017,-0.0005617129945764548,-2.8613705605459727e-05,-0.0023576235040704665,-1.115934328904086e-05,-0.0006998570000000051,-0.002937441947435088,True,1.3729999999996523e-05,5.354699089699763e-06,False
161.0,223.0,155.0,0.04903785511124559,0.04963543760849393,0.04902028565379361,0.049105748,0.049562683,0.049104668,0.23825379999999896,2.564101999999991,0.23825379999999896,2.564101999999991,-0.0005975824972483459,1.7569457451974135e-05,-0.002508176143458566,6.852089913729717e-06,-0.00045693500000000553,-0.0019178497887547125,True,1.080000000000525e-06,4.2120009266422656e-07,True
161.0,223.0,230.0,0.04881671974511011,0.04938352770559253,0.04883259382651184,0.049315936,0.049765762,0.049296059,0.23825379999999896,2.564103000000017,0.23825379999999896,2.564103000000017,-0.0005668079604824253,-1.5874081401731632e-05,-0.002379009109119887,-6.190890694223877e-06,-0.0004498260000000004,-0.001888011859621976,True,1.9876999999994538e-05,7.752028682152942e-06,False
