epoch,step,target,mv,teacher_sign,valid_count,wrong_count,base_output_grad_norm,raw_group_output_grad_norm,target_output_grad_norm,scale,estimated_scaled_output_grad_norm
1,1,B35_H2S,air2_SP,positive,6,5,1.1640318632125854,0.00019906785746570677,0.01746047794818878,50.0,0.009953392873285338
1,1,B35_H2S,air2_SP,negative,102,0,1.1640318632125854,0.0,0.01746047794818878,0.0,0.0
1,1,B35_H2S,HEATER2_output_T_SP,positive,82,1,1.1640318632125854,4.999194970878307e-06,0.01746047794818878,50.0,0.00024995974854391534
1,1,B35_H2S,HEATER2_output_T_SP,negative,34,34,1.1640318632125854,0.000757973815780133,0.01746047794818878,23.035727072204793,0.01746047794818878
1,1,B35_SO2,HEATER2_output_T_SP,positive,60,60,1.1640318632125854,0.0025173381436616182,0.01746047794818878,6.936087625793281,0.01746047794818878
1,1,B35_SO2,HEATER2_output_T_SP,negative,30,0,1.1640318632125854,0.0,0.01746047794818878,0.0,0.0
1,2,B35_H2S,air2_SP,positive,12,11,0.9664093255996704,0.00021251500584185123,0.014496139883995056,50.0,0.010625750292092562
1,2,B35_H2S,air2_SP,negative,94,0,0.9664093255996704,0.0,0.014496139883995056,0.0,0.0
1,2,B35_H2S,HEATER2_output_T_SP,positive,80,0,0.9664093255996704,0.0,0.014496139883995056,0.0,0.0
1,2,B35_H2S,HEATER2_output_T_SP,negative,30,30,0.9664093255996704,0.0007350906962528825,0.014496139883995056,19.72020589825036,0.014496139883995056
1,2,B35_SO2,HEATER2_output_T_SP,positive,56,56,0.9664093255996704,0.0025401380844414234,0.014496139883995056,5.7068314406942005,0.014496139883995054
1,2,B35_SO2,HEATER2_output_T_SP,negative,28,0,0.9664093255996704,0.0,0.014496139883995056,0.0,0.0
1,3,B35_H2S,air2_SP,positive,12,12,0.7766928672790527,0.0002019503735937178,0.011650393009185791,50.0,0.01009751867968589
1,3,B35_H2S,air2_SP,negative,104,0,0.7766928672790527,0.0,0.011650393009185791,0.0,0.0
1,3,B35_H2S,HEATER2_output_T_SP,positive,88,4,0.7766928672790527,2.0248817236279137e-05,0.011650393009185791,50.0,0.0010124408618139569
1,3,B35_H2S,HEATER2_output_T_SP,negative,26,26,0.7766928672790527,0.0006204392993822694,0.011650393009185791,18.777651610375617,0.011650393009185791
1,3,B35_SO2,HEATER2_output_T_SP,positive,64,64,0.7766928672790527,0.002567281248047948,0.011650393009185791,4.538027541020003,0.011650393009185793
1,3,B35_SO2,HEATER2_output_T_SP,negative,24,0,0.7766928672790527,0.0,0.011650393009185791,0.0,0.0
1,4,B35_H2S,air2_SP,positive,8,8,0.7374606132507324,0.00019208247249480337,0.011061909198760985,50.0,0.009604123624740168
1,4,B35_H2S,air2_SP,negative,108,0,0.7374606132507324,0.0,0.011061909198760985,0.0,0.0
1,4,B35_H2S,HEATER2_output_T_SP,positive,82,0,0.7374606132507324,0.0,0.011061909198760985,0.0,0.0
1,4,B35_H2S,HEATER2_output_T_SP,negative,36,36,0.7374606132507324,0.0006577775347977877,0.011061909198760985,16.81709789946172,0.011061909198760985
1,4,B35_SO2,HEATER2_output_T_SP,positive,66,66,0.7374606132507324,0.002379306359216571,0.011061909198760985,4.649216001928947,0.011061909198760983
1,4,B35_SO2,HEATER2_output_T_SP,negative,30,0,0.7374606132507324,0.0,0.011061909198760985,0.0,0.0
1,5,B35_H2S,air2_SP,positive,12,12,0.7298532724380493,0.00021766121790278703,0.01094779908657074,50.0,0.010883060895139351
1,5,B35_H2S,air2_SP,negative,104,0,0.7298532724380493,0.0,0.01094779908657074,0.0,0.0
1,5,B35_H2S,HEATER2_output_T_SP,positive,96,2,0.7298532724380493,8.84749442775501e-06,0.01094779908657074,50.0,0.00044237472138775047
1,5,B35_H2S,HEATER2_output_T_SP,negative,24,24,0.7298532724380493,0.0005794822354800999,0.01094779908657074,18.8923808466717,0.01094779908657074
1,5,B35_SO2,HEATER2_output_T_SP,positive,72,72,0.7298532724380493,0.0021909584756940603,0.01094779908657074,4.996808112989295,0.01094779908657074
1,5,B35_SO2,HEATER2_output_T_SP,negative,24,0,0.7298532724380493,0.0,0.01094779908657074,0.0,0.0
1,6,B35_H2S,air2_SP,positive,10,10,0.6014770865440369,0.00024114541884046048,0.009022156298160553,37.413757812789,0.009022156298160553
1,6,B35_H2S,air2_SP,negative,104,0,0.6014770865440369,0.0,0.009022156298160553,0.0,0.0
1,6,B35_H2S,HEATER2_output_T_SP,positive,78,1,0.6014770865440369,5.118284661875805e-06,0.009022156298160553,50.0,0.00025591423309379024
1,6,B35_H2S,HEATER2_output_T_SP,negative,28,26,0.6014770865440369,0.0005931969499215484,0.009022156298160553,15.209377424064224,0.009022156298160553
1,6,B35_SO2,HEATER2_output_T_SP,positive,60,60,0.6014770865440369,0.002051162999123335,0.009022156298160553,4.398556478454718,0.009022156298160553
1,6,B35_SO2,HEATER2_output_T_SP,negative,20,0,0.6014770865440369,0.0,0.009022156298160553,0.0,0.0
1,7,B35_H2S,air2_SP,positive,10,10,0.5847804546356201,0.0002245239302283153,0.008771706819534302,39.068026337390734,0.008771706819534302
1,7,B35_H2S,air2_SP,negative,94,0,0.5847804546356201,0.0,0.008771706819534302,0.0,0.0
1,7,B35_H2S,HEATER2_output_T_SP,positive,76,5,0.5847804546356201,2.491865416232031e-05,0.008771706819534302,50.0,0.0012459327081160154
1,7,B35_H2S,HEATER2_output_T_SP,negative,38,35,0.5847804546356201,0.0004956970806233585,0.008771706819534302,17.695699979720555,0.008771706819534302
1,7,B35_SO2,HEATER2_output_T_SP,positive,62,62,0.5847804546356201,0.002093009650707245,0.008771706819534302,4.190953833667356,0.008771706819534302
1,7,B35_SO2,HEATER2_output_T_SP,negative,34,0,0.5847804546356201,0.0,0.008771706819534302,0.0,0.0
1,8,B35_H2S,air2_SP,positive,16,16,0.5417851209640503,0.0002061395935015753,0.008126776814460755,39.42365790295716,0.008126776814460755
1,8,B35_H2S,air2_SP,negative,84,0,0.5417851209640503,0.0,0.008126776814460755,0.0,0.0
1,8,B35_H2S,HEATER2_output_T_SP,positive,66,2,0.5417851209640503,1.2669397619902156e-05,0.008126776814460755,50.0,0.0006334698809951078
1,8,B35_H2S,HEATER2_output_T_SP,negative,54,48,0.5417851209640503,0.0004886382957920432,0.008126776814460755,16.631477484358662,0.008126776814460755
1,8,B35_SO2,HEATER2_output_T_SP,positive,46,46,0.5417851209640503,0.0019949888810515404,0.008126776814460755,4.07359504188174,0.008126776814460755
1,8,B35_SO2,HEATER2_output_T_SP,negative,46,0,0.5417851209640503,0.0,0.008126776814460755,0.0,0.0
1,9,B35_H2S,air2_SP,positive,8,8,0.4650280773639679,0.0002234291605418548,0.006975421160459518,31.219833362587504,0.006975421160459518
1,9,B35_H2S,air2_SP,negative,100,0,0.4650280773639679,0.0,0.006975421160459518,0.0,0.0
1,9,B35_H2S,HEATER2_output_T_SP,positive,80,10,0.4650280773639679,4.454872396308929e-05,0.006975421160459518,50.0,0.0022274361981544644
1,9,B35_H2S,HEATER2_output_T_SP,negative,42,31,0.4650280773639679,0.00039632711559534073,0.006975421160459518,17.60016129600778,0.006975421160459517
1,9,B35_SO2,HEATER2_output_T_SP,positive,70,70,0.4650280773639679,0.0020218375138938427,0.006975421160459518,3.4500404273465097,0.006975421160459518
1,9,B35_SO2,HEATER2_output_T_SP,negative,40,0,0.4650280773639679,0.0,0.006975421160459518,0.0,0.0
1,10,B35_H2S,air2_SP,positive,10,10,0.4874645471572876,0.00024329478037543595,0.007311968207359314,30.053946065246375,0.007311968207359314
1,10,B35_H2S,air2_SP,negative,102,0,0.4874645471572876,0.0,0.007311968207359314,0.0,0.0
1,10,B35_H2S,HEATER2_output_T_SP,positive,84,18,0.4874645471572876,8.372475713258609e-05,0.007311968207359314,50.0,0.004186237856629305
1,10,B35_H2S,HEATER2_output_T_SP,negative,34,19,0.4874645471572876,0.0002997447154484689,0.007311968207359314,24.393985383259785,0.007311968207359315
1,10,B35_SO2,HEATER2_output_T_SP,positive,72,72,0.4874645471572876,0.0019703798461705446,0.007311968207359314,3.7109434617747468,0.007311968207359314
1,10,B35_SO2,HEATER2_output_T_SP,negative,32,0,0.4874645471572876,0.0,0.007311968207359314,0.0,0.0
2,1,B35_H2S,air2_SP,positive,14,14,0.44943487644195557,0.000216643325984478,0.006741523146629333,31.118074447916978,0.006741523146629333
2,1,B35_H2S,air2_SP,negative,100,0,0.44943487644195557,0.0,0.006741523146629333,0.0,0.0
2,1,B35_H2S,HEATER2_output_T_SP,positive,76,29,0.44943487644195557,0.0001607776212040335,0.006741523146629333,41.93073075807024,0.006741523146629333
2,1,B35_H2S,HEATER2_output_T_SP,negative,44,20,0.44943487644195557,0.00023001043882686645,0.006741523146629333,29.309639949445142,0.006741523146629333
2,1,B35_SO2,HEATER2_output_T_SP,positive,64,64,0.44943487644195557,0.0020261192694306374,0.006741523146629333,3.3273081443639683,0.006741523146629333
2,1,B35_SO2,HEATER2_output_T_SP,negative,32,0,0.44943487644195557,0.0,0.006741523146629333,0.0,0.0
2,2,B35_H2S,air2_SP,positive,18,18,0.46336373686790466,0.00029776120209135115,0.006950456053018569,23.34238310498967,0.006950456053018569
2,2,B35_H2S,air2_SP,negative,84,0,0.46336373686790466,0.0,0.006950456053018569,0.0,0.0
2,2,B35_H2S,HEATER2_output_T_SP,positive,76,35,0.46336373686790466,0.00020318212045822293,0.006950456053018569,34.208010219322816,0.006950456053018569
2,2,B35_H2S,HEATER2_output_T_SP,negative,50,27,0.46336373686790466,0.00025863302289508283,0.006950456053018569,26.873815165660783,0.006950456053018569
2,2,B35_SO2,HEATER2_output_T_SP,positive,58,58,0.46336373686790466,0.0020793629810214043,0.006950456053018569,3.342589108518434,0.006950456053018569
2,2,B35_SO2,HEATER2_output_T_SP,negative,50,0,0.46336373686790466,0.0,0.006950456053018569,0.0,0.0
2,3,B35_H2S,air2_SP,positive,12,12,0.4741933047771454,0.0002987354528158903,0.007112899571657181,23.81002825279274,0.007112899571657181
2,3,B35_H2S,air2_SP,negative,102,0,0.4741933047771454,0.0,0.007112899571657181,0.0,0.0
2,3,B35_H2S,HEATER2_output_T_SP,positive,76,30,0.4741933047771454,0.0002205703203799203,0.007112899571657181,32.247763703682345,0.007112899571657181
2,3,B35_H2S,HEATER2_output_T_SP,negative,42,19,0.4741933047771454,0.0002454948262311518,0.007112899571657181,28.97372494913539,0.007112899571657181
2,3,B35_SO2,HEATER2_output_T_SP,positive,60,60,0.4741933047771454,0.00217313040047884,0.007112899571657181,3.2731121749941394,0.007112899571657181
2,3,B35_SO2,HEATER2_output_T_SP,negative,38,0,0.4741933047771454,0.0,0.007112899571657181,0.0,0.0
2,4,B35_H2S,air2_SP,positive,10,10,0.47580811381340027,0.0003452107193879783,0.007137121707201004,20.674681596951444,0.007137121707201004
2,4,B35_H2S,air2_SP,negative,106,0,0.47580811381340027,0.0,0.007137121707201004,0.0,0.0
2,4,B35_H2S,HEATER2_output_T_SP,positive,88,51,0.47580811381340027,0.00029324478236958385,0.007137121707201004,24.338443976834032,0.007137121707201004
2,4,B35_H2S,HEATER2_output_T_SP,negative,32,12,0.47580811381340027,0.0001955367624759674,0.007137121707201004,36.50015279391872,0.007137121707201003
2,4,B35_SO2,HEATER2_output_T_SP,positive,62,55,0.47580811381340027,0.0020022487733513117,0.007137121707201004,3.564552917795063,0.007137121707201004
2,4,B35_SO2,HEATER2_output_T_SP,negative,26,0,0.47580811381340027,0.0,0.007137121707201004,0.0,0.0
2,5,B35_H2S,air2_SP,positive,8,8,0.49459031224250793,0.0002992406371049583,0.007418854683637619,24.792270045312943,0.007418854683637619
2,5,B35_H2S,air2_SP,negative,104,0,0.49459031224250793,0.0,0.007418854683637619,0.0,0.0
2,5,B35_H2S,HEATER2_output_T_SP,positive,76,55,0.49459031224250793,0.00037108047399669886,0.007418854683637619,19.992576283341755,0.007418854683637619
2,5,B35_H2S,HEATER2_output_T_SP,negative,38,7,0.49459031224250793,9.780030813999474e-05,0.007418854683637619,50.0,0.004890015406999737
2,5,B35_SO2,HEATER2_output_T_SP,positive,60,55,0.49459031224250793,0.002107021864503622,0.007418854683637619,3.521014569720838,0.007418854683637619
2,5,B35_SO2,HEATER2_output_T_SP,negative,32,0,0.49459031224250793,0.0,0.007418854683637619,0.0,0.0
2,6,B35_H2S,air2_SP,positive,18,18,0.4622722864151001,0.0003893112880177796,0.006934084296226501,17.811156546557225,0.0069340842962265
2,6,B35_H2S,air2_SP,negative,88,0,0.4622722864151001,0.0,0.006934084296226501,0.0,0.0
2,6,B35_H2S,HEATER2_output_T_SP,positive,64,44,0.4622722864151001,0.0004147101135458797,0.006934084296226501,16.720316360115433,0.006934084296226502
2,6,B35_H2S,HEATER2_output_T_SP,negative,52,15,0.4622722864151001,0.0001796997239580378,0.006934084296226501,38.5870614795474,0.006934084296226502
2,6,B35_SO2,HEATER2_output_T_SP,positive,62,58,0.4622722864151001,0.0023170444183051586,0.006934084296226501,2.992641937049508,0.006934084296226501
2,6,B35_SO2,HEATER2_output_T_SP,negative,48,0,0.4622722864151001,0.0,0.006934084296226501,0.0,0.0
2,7,B35_H2S,air2_SP,positive,14,14,0.4965631663799286,0.0003767691378016025,0.0074484474956989285,19.769261195754044,0.0074484474956989285
2,7,B35_H2S,air2_SP,negative,88,0,0.4965631663799286,0.0,0.0074484474956989285,0.0,0.0
2,7,B35_H2S,HEATER2_output_T_SP,positive,64,41,0.4965631663799286,0.0003469432413112372,0.0074484474956989285,21.468778199996827,0.007448447495698928
2,7,B35_H2S,HEATER2_output_T_SP,negative,46,6,0.4965631663799286,6.137173477327451e-05,0.0074484474956989285,50.0,0.0030685867386637256
2,7,B35_SO2,HEATER2_output_T_SP,positive,48,36,0.4965631663799286,0.0018847206374630332,0.0074484474956989285,3.952016732689394,0.0074484474956989285
2,7,B35_SO2,HEATER2_output_T_SP,negative,38,1,0.4965631663799286,6.847200711490586e-05,0.0074484474956989285,50.0,0.003423600355745293
2,8,B35_H2S,air2_SP,positive,12,12,0.4651557207107544,0.0001983221882255748,0.006977335810661315,35.18182142446504,0.006977335810661316
2,8,B35_H2S,air2_SP,negative,88,0,0.4651557207107544,0.0,0.006977335810661315,0.0,0.0
2,8,B35_H2S,HEATER2_output_T_SP,positive,72,48,0.4651557207107544,0.0003390226047486067,0.006977335810661315,20.580739198305597,0.006977335810661314
2,8,B35_H2S,HEATER2_output_T_SP,negative,48,14,0.4651557207107544,0.00015557683946099132,0.006977335810661315,44.848165284979856,0.006977335810661315
2,8,B35_SO2,HEATER2_output_T_SP,positive,60,58,0.4651557207107544,0.0021448498591780663,0.006977335810661315,3.253064908391825,0.006977335810661315
2,8,B35_SO2,HEATER2_output_T_SP,negative,38,0,0.4651557207107544,0.0,0.006977335810661315,0.0,0.0
2,9,B35_H2S,air2_SP,positive,12,12,0.4565347731113434,0.00035900864168070257,0.006848021596670151,19.074809911569453,0.006848021596670152
2,9,B35_H2S,air2_SP,negative,90,0,0.4565347731113434,0.0,0.006848021596670151,0.0,0.0
2,9,B35_H2S,HEATER2_output_T_SP,positive,74,55,0.4565347731113434,0.00041771846008487046,0.006848021596670151,16.393868720283024,0.006848021596670151
2,9,B35_H2S,HEATER2_output_T_SP,negative,44,7,0.4565347731113434,0.00012606197560671717,0.006848021596670151,50.0,0.0063030987803358585
2,9,B35_SO2,HEATER2_output_T_SP,positive,60,48,0.4565347731113434,0.0021269922144711018,0.006848021596670151,3.2195800013179556,0.006848021596670151
2,9,B35_SO2,HEATER2_output_T_SP,negative,36,1,0.4565347731113434,9.678801143309101e-05,0.006848021596670151,50.0,0.004839400571654551
2,10,B35_H2S,air2_SP,positive,8,7,0.44695669412612915,0.00040992433787323534,0.006704350411891937,16.3550923730837,0.006704350411891937
2,10,B35_H2S,air2_SP,negative,104,1,0.44695669412612915,1.8081143480230821e-06,0.006704350411891937,50.0,9.04057174011541e-05
2,10,B35_H2S,HEATER2_output_T_SP,positive,72,36,0.44695669412612915,0.0002964606392197311,0.006704350411891937,22.614639263874746,0.006704350411891936
2,10,B35_H2S,HEATER2_output_T_SP,negative,30,7,0.44695669412612915,0.00013320073776412755,0.006704350411891937,50.0,0.006660036888206378
2,10,B35_SO2,HEATER2_output_T_SP,positive,58,49,0.44695669412612915,0.002030432689934969,0.006704350411891937,3.3019318715296415,0.006704350411891936
2,10,B35_SO2,HEATER2_output_T_SP,negative,26,1,0.44695669412612915,0.00014520008699037135,0.006704350411891937,46.17318454042333,0.006704350411891937
3,1,B35_H2S,air2_SP,positive,8,8,0.46437785029411316,0.0004566070856526494,0.006965667754411697,15.255277399945184,0.006965667754411697
3,1,B35_H2S,air2_SP,negative,104,1,0.46437785029411316,1.6317704876200878e-06,0.006965667754411697,50.0,8.158852438100439e-05
