epoch,ss_loss,ss_weight,weighted_ss_loss
1,2.358909809589386,0.0,0.0
2,1.8383965134620666,0.0,0.0
3,1.9685001730918885,0.0,0.0
4,1.8140117049217224,0.0,0.0
5,1.7076496839523316,0.0,0.0
6,1.570534634590149,0.0,0.0
7,1.3481435656547547,0.0,0.0
8,1.4011030316352844,0.0,0.0
9,1.3627662539482117,0.0,0.0
10,1.3796297073364259,0.0,0.0
11,1.3414433240890502,0.0,0.0
12,1.2556593716144562,0.0,0.0
13,1.1566802203655242,0.0,0.0
14,1.2870549142360688,0.0,0.0
15,1.1651072919368743,0.0,0.0
16,1.3342618286609649,0.0,0.0
17,1.0949062705039978,0.0,0.0
18,1.254137361049652,0.0,0.0
19,1.122014456987381,0.0,0.0
20,1.1865312099456786,0.0,0.0
21,1.1536717534065246,0.0,0.0
22,1.107406461238861,0.0,0.0
23,1.082383793592453,0.0,0.0
24,0.9565504133701325,0.0,0.0
25,0.9511515617370605,0.0,0.0
26,1.1090491831302642,0.0,0.0
27,1.0224621772766114,0.0,0.0
28,1.0371054708957672,0.0,0.0
29,1.0926129221916199,0.0,0.0
30,0.999936991930008,0.0,0.0
31,0.998247480392456,0.0,0.0
32,0.9562620937824249,0.0,0.0
33,0.9201091706752778,0.0,0.0
34,0.9511711180210114,0.0,0.0
35,0.8974584460258483,0.0,0.0
36,0.8617538571357727,0.0,0.0
37,0.9076871156692505,0.0,0.0
38,1.082611119747162,0.0,0.0
39,1.029531979560852,0.0,0.0
40,1.0604256093502045,0.0,0.0
41,1.0043678998947143,0.0,0.0
42,0.9695825159549714,0.0,0.0
43,0.9720755100250245,0.0,0.0
44,0.9508526146411895,0.0,0.0
45,1.0228346288204193,0.0,0.0
46,0.954068374633789,0.0,0.0
47,1.0121797800064087,0.0,0.0
48,0.9994686424732209,0.0,0.0
49,1.03459689617157,0.0,0.0
50,0.8965669333934784,0.0,0.0
51,0.9303778886795044,0.0,0.0
52,0.848561891913414,0.0,0.0
53,0.8458954811096191,0.0,0.0
54,0.8989809185266495,0.0,0.0
55,1.0811827301979064,0.0,0.0
56,1.0073288559913636,0.0,0.0
57,0.9988621652126313,0.0,0.0
58,1.0261105656623841,0.0,0.0
59,0.9972628951072693,0.0,0.0
60,1.0924474716186523,0.0,0.0
61,1.0553610146045684,0.0,0.0
62,1.0115784585475922,0.0,0.0
63,0.9569131553173065,0.0,0.0
64,0.9234715342521668,0.0,0.0
65,1.0690799117088319,0.0,0.0
66,0.9237729907035828,0.0,0.0
67,1.0322783172130585,0.0,0.0
68,0.9517572462558747,0.0,0.0
69,0.9744212031364441,0.0,0.0
70,1.1010384857654572,0.0,0.0
71,0.9745180070400238,0.0,0.0
72,0.9988178491592408,0.0,0.0
73,0.9436906993389129,0.0,0.0
74,1.0331231474876403,0.0,0.0
75,1.0244092166423797,0.0,0.0
76,1.0858385145664216,0.0,0.0
77,0.9612064242362977,0.0,0.0
78,1.0027166426181793,0.0,0.0
79,0.9143698155879975,0.0,0.0
80,1.0916407823562622,0.0,0.0
81,1.0332191050052644,0.0,0.0
82,1.0851229310035706,0.0,0.0
83,1.075281798839569,0.0,0.0
84,1.0263711512088776,0.0,0.0
85,1.1263610541820526,0.0,0.0
86,1.0255430817604065,0.0,0.0
87,1.1577605128288269,0.0,0.0
88,1.1392002701759338,0.0,0.0
89,1.0636124670505525,0.0,0.0
90,1.1419818639755248,0.0,0.0
91,1.2188597798347474,0.0,0.0
92,1.1281215727329255,0.0,0.0
93,1.2294729709625245,0.0,0.0
94,1.0965671360492706,0.0,0.0
95,1.136931014060974,0.0,0.0
96,1.154804003238678,0.0,0.0
97,1.2371377229690552,0.0,0.0
98,1.2423161149024964,0.0,0.0
99,1.1098155677318573,0.0,0.0
100,0.9881446540355683,0.0,0.0
101,1.1194499254226684,0.0,0.0
102,1.1108381271362304,0.0,0.0
103,1.2094474971294402,0.0,0.0
104,1.1769062161445618,0.0,0.0
105,1.1228530943393706,0.0,0.0
106,1.2746992409229279,0.0,0.0
107,1.2446112632751465,0.0,0.0
